County	Kerry%	Kerry#	Bush%	Bush#	Others%	Others#
Ada	37.7%	58523	61.0%	94641	1.2%	1866
Adams	26.9%	555	71.2%	1468	1.9%	40
Bannock	37.0%	12903	61.6%	21479	1.3%	462
Bear Lake	16.3%	494	82.4%	2506	1.3%	40
Benewah	28.3%	1148	69.7%	2823	2.0%	79
Bingham	21.8%	3605	76.9%	12734	1.4%	226
Blaine	59.1%	5992	39.8%	4034	1.2%	121
Boise	27.5%	970	70.9%	2501	1.6%	56
Bonner	37.6%	6649	60.5%	10697	1.9%	338
Bonneville	21.5%	8356	77.3%	30048	1.2%	467
Boundary	29.0%	1268	68.8%	3012	2.3%	99
Butte	22.8%	321	76.6%	1077	0.6%	8
Camas	23.4%	139	75.6%	450	1.0%	6
Canyon	24.1%	13415	74.7%	41599	1.2%	684
Caribou	15.0%	491	83.9%	2753	1.1%	37
Cassia	14.7%	1153	83.9%	6562	1.4%	106
Clark	13.0%	46	85.6%	302	1.4%	5
Clearwater	27.7%	1117	70.4%	2839	1.9%	78
Custer	23.7%	559	74.7%	1762	1.6%	37
Elmore	24.3%	1959	74.6%	6011	1.1%	91
Franklin	9.0%	456	89.6%	4527	1.4%	71
Fremont	12.8%	741	86.1%	4965	1.1%	63
Gem	22.8%	1628	75.9%	5416	1.3%	90
Gooding	24.0%	1278	74.6%	3973	1.4%	74
Idaho	21.2%	1689	75.5%	6017	3.3%	264
Jefferson	12.2%	1084	86.5%	7703	1.3%	119
Jerome	20.4%	1344	78.7%	5177	0.9%	59
Kootenai	32.2%	17584	66.2%	36173	1.5%	846
Latah	48.0%	8430	49.5%	8686	2.5%	437
Lemhi	22.6%	915	75.9%	3079	1.5%	61
Lewis	24.2%	440	74.7%	1359	1.2%	21
Lincoln	24.8%	466	74.0%	1388	1.2%	22
Madison	7.1%	826	91.9%	10693	1.0%	118
Minidoka	18.5%	1331	80.5%	5797	1.0%	73
Nez Perce	36.6%	6476	62.2%	11009	1.2%	215
Oneida	14.3%	304	83.9%	1789	1.9%	40
Owyhee	19.1%	685	79.6%	2859	1.3%	46
Payette	22.6%	1848	76.5%	6256	0.9%	77
Power	28.0%	829	71.2%	2105	0.8%	24
Shoshone	43.7%	2331	54.7%	2922	1.6%	84
Teton	38.4%	1416	60.6%	2235	1.1%	39
Twin Falls	24.4%	6458	74.4%	19672	1.2%	305
Valley	38.6%	1843	60.0%	2863	1.4%	68
