Game	Date	Opponent	Score	Location Attendance	Record
17	December 3	vs Boston Celtics	W 105-95	Omni Coliseum	10-7
Game	Date	Opponent	Score	Location Attendance	Record
18	December 4	at Detroit Pistons	L 90-100	The Palace of Auburn Hills 14,574	10-8
19	December 7	vs Toronto Raptors	W 101-75	Omni Coliseum 11,422	11-8
20	December 10	vs Denver Nuggets	W 89-88	Omni Coliseum	12-8
21	December 14	vs Philadelphia 76ers	W 106-81	Omni Coliseum 12,473	13-8
22	December 17	at Dallas Mavericks	W 109-73	Reunion Arena 14,805	14-8
23	December 20	vs New Jersey Nets	W 109-95	Omni Coliseum 12,884	15-8
24	December 21	at Charlotte Hornets	L 93-98	Charlotte Coliseum 24,042	15-9
25	December 23	at New York Knicks	L 76-82	Madison Square Garden 19,763	15-10
26	December 26	vs Chicago Bulls	W 108-103	Omni Coliseum 16,378	16-10
27	December 28	at Washington Bullets	L 86-97	US Airways Arena 11,797	16-11
