Year	Florida	Georgia	Kentucky	South Carolina	Tennessee	Vanderbilt
1994	Neal Anderson	Charley Trippi	Babe Parilli	George Rogers	Bob Johnson	Bill Wade
1995	Jack Youngblood	Fran Tarkenton	Derrick Ramsey	Alex Hawkins	Doug Atkins	Bob Asher
1996	Nat Moore	Bill Stanfill	Wallace Jones	Sterling Sharpe	Condredge Holloway	John Hall
1997	Carlos Alvarez	Terry Hoage	Jerry Claiborne	Todd Ellis	John Michels	Ernest "Bucky" Curtis
1998	Glenn Cameron	John Rauch	Bob Gain	Bobby Bryant	Richmond Flowers	Charley Horton
1999	Kerwin Bell	Herschel Walker	Steve Meilinger	Rick Sanford	Steve Kiner	Bob Werckle
2000	John Reaves	Kevin Butler	Lou Michaels	Harold Green	Steve DeLong	Herb Rich
2001	Huey Richardson	Tommy Lyons	Sam Ball	Robert Brooks	Stanley Morgan	Will Wolford
2002	Brad Culpepper	George Patton	Art Still	Jeff Grantz	Johnny Majors	Jim Arnold
2003	Larry Smith	Scott Woerner	Dermontti Dawson	Dickie Harris	Reggie White	Whit Taylor
2004	Lomas Brown	Mike Wilson	George Blanda	Dan Reeves	Frank Emanuel	Boo Mitchell
2005	Trace Armstrong	Zeke Bratkowski	Warren Bryant	Warren Muir	Larry Seivers	Chris Gaines
2006	Louis Oliver	Garrison Hearst	Jeff Van Note	Willie Scott	Chip Kell	Eric Jones
2007	Ralph Ortega	Rex Robinson	Larry Seiple	Duce Staley	Willie Gault	Chuck Scott
2008	Errict Rhett	Eric Zeier	Irv Goode	Brad Edwards	Doug Dickey	Shelton Quarles
2009	Reidel Anthony	Matt Stinchcomb	Jim Kovach	Tommy Suggs	Heath Shuler	Jamie Duncan
2010	Kevin Carter	Ben Zambiasi	Tim Couch	Andrew Provence	Al Wilson	Corey Chavous
2011	Ike Hilliard	Boss Bailey	Rodger Bird	Brandon Bennett	Bobby Majors	Corey Harris
2012	Steve Tannen	David Greene	Sonny Collins	Ko Simpson	Peerless Price	Hunter Hillenmeyer
2013	Wes Chandler	Tim Worley	Wilbur Hackett	Max Runager	Inky Johnson	Jimmy R. Williams
