Rank	Mountain Peak	Province	Mountain Range	Location
1	Mount Caubvick ( Mont d'Iberville )	Newfoundland and Labrador Quebec	Torngat Mountains	58.8836°N 63.7158°W
2	Barbeau Peak	Nunavut	Ellesmere Island	81.9083°N 75.0250°W
3	Qiajivik Mountain	Nunavut	Baffin Island	72.1806°N 75.9111°W
4	Melville Island High Point	Nunavut	Melville Island	75.3694°N 115.0827°W
5	Mathiassen Mountain	Nunavut	Southampton Island	64.7403°N 83.1573°W
6	Mount Logan	Yukon	Saint Elias Mountains	60.5758°N 140.3694°W
7	Mount Odin	Nunavut	Baffin Island	66.5500°N 65.4333°W
8	Mount Waddington	British Columbia	Coast Mountains	51.3736°N 125.2633°W
9	Melville Hills High Point	Northwest Territories	Melville Hills	69.2425°N 121.5391°W
10	Keele Peak	Yukon	Mackenzie Mountains	63.4311°N 130.3236°W
11	Mealy Mountains High Point	Newfoundland and Labrador	Mealy Mountains	53.6465°N 58.5536°W
12	The Cabox	Newfoundland and Labrador	Island of Newfoundland	48.8330°N 58.4842°W
13	Mont Yapeitso	Quebec	Monts Otish	52.3219°N 70.4444°W
14	Mount Robson	British Columbia	Canadian Rockies	53.1106°N 119.1564°W
15	Ulysses Mountain	British Columbia	Muskwa Ranges	57.3464°N 124.0928°W
16	Mont Jacques-Cartier	Quebec	Notre Dame Mountains	48.9906°N 65.9483°W
17	Victoria Island High Point	Northwest Territories	Victoria Island	71.8528°N 112.6073°W
18	South Ellesmere Ice Cap High Point	Nunavut	Ellesmere Island	78.8007°N 79.5292°W
19	Manuel Peak	Yukon	Richardson Mountains	67.9833°N 136.5833°W
20	Mount Ratz	British Columbia	Coast Mountains	57.3931°N 132.3033°W
21	Cap Mountain	Northwest Territories	Franklin Mountains	63.4070°N 123.2155°W
22	Outlook Peak	Nunavut	Axel Heiberg Island	79.7500°N 91.3833°W
23	Devon Ice Cap High Point	Nunavut	Devon Island	75.3429°N 82.6186°W
24	Howson Peak	British Columbia	Coast Mountains	54.4183°N 127.7439°W
25	Fox Mountain	Yukon	Pelly Mountains	61.9222°N 133.3678°W
26	Mount Frank Rae	Yukon	Ogilvie Mountains	64.4703°N 138.5550°W
27	Mount Nirvana	Northwest Territories	Mackenzie Mountains	61.8752°N 127.6807°W
28	Durham Heights	Nunavut	Banks Island	71.1358°N 122.9531°W
29	Kisimngiuqtuq Peak	Nunavut	Baffin Island	70.7972°N 71.6500°W
30	Mount Moresby	British Columbia	Moresby Island	53.0192°N 132.0856°W
31	Mont Raoul-Blanchard	Quebec	Laurentian Mountains	47.3097°N 70.8315°W
32	Fairweather Mountain ( Mount Fairweather )	British Columbia Alaska	Saint Elias Mountains	58.9064°N 137.5267°W
33	Mount Macdonald	Yukon	Mackenzie Mountains	64.7256°N 132.7806°W
34	Mont Veyrier	Quebec	Canadian Shield	51.5314°N 68.0797°W
35	Grey Hunter Peak	Yukon	North Yukon Plateau	63.1356°N 135.6361°W
36	Mount Columbia	Alberta British Columbia	Canadian Rockies	52.1475°N 117.4406°W
37	Skihist Mountain	British Columbia	Coast Mountains	50.1878°N 121.9033°W
38	Golden Hinde	British Columbia	Vancouver Island	49.6625°N 125.7469°W
39	White Hill	Nova Scotia	Cape Breton Island	46.7000°N 60.5992°W
40	Simpson Peak	British Columbia	Stikine Plateau	59.7233°N 131.4481°W
41	Angilaaq Mountain	Nunavut	Bylot Island	73.2294°N 78.6233°W
42	Mount Crysdale	British Columbia	Hart Ranges	55.9383°N 123.4211°W
43	Mount Assiniboine	Alberta British Columbia	Canadian Rockies	50.8697°N 115.6511°W
44	Peak 39-18	Nunavut	Baffin Island	69.6567°N 69.3083°W
45	Devils Paw	British Columbia Alaska	Coast Mountains	58.7289°N 133.8403°W
46	Mount Carleton	New Brunswick	New Brunswick Highlands	47.3780°N 66.8759°W
47	Mount Jancowski	British Columbia	Coast Mountains	56.3372°N 129.9819°W
48	Sentinel Peak	British Columbia	Canadian Rockies	54.9081°N 121.9611°W
49	Shedin Peak	British Columbia	Skeena Mountains	55.9392°N 127.4800°W
50	Fleet Peak	British Columbia	Omineca Mountains	56.7803°N 126.2714°W
