No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
27	2	"iStage an Intervention"	Jonathan Goldstein	Karey Dornetto	October4,2008	205	3.9
28	3	"iOwe You"	David Kendall	Jake Farrow	October11,2008	206	4.4
29	4	"iHurt Lewbert"	Russ Reinsel	Ethan Banville	October18,2008	207	4.0
33	8	"iPie"	Roger Christiansen	Andrew Hill Newman	November15,2008	208	4.1
34	9	"iChristmas"	Steve Hoefer	Dan Schneider	December13,2008	209	3.3
35	10	"iKiss"	Steve Hoefer	Dan Schneider	January3,2009	210	6.0
36	11	"iGive Away a Car"	Steve Hoefer	George Doty IV	January17,2009	211	5.1
37	12	"iRocked the Vote"	Russ Reinsel	Andrew Hill Newman	February7,2009	215	5.2
38	13	"iMeet Fred"	Adam Weissman	Dan Schneider	February16,2009	212	5.1
39	14	"iLook Alike"	David Kendall	Dan Schneider	March7,2009	213	6.3
40	15	"iWant My Website Back"	Adam Weissman	Matt Fleckenstein	March21,2009	219	3.9
41	16	"iMake Sam Girlier"	Roger Christiansen	Jake Farrow	April11,2009	216	5.1
42	17	"iGo Nuclear"	David Kendall	George Doty IV & Andrew Hill Newman	April22,2009	214	4.5
43-44	18-19	" iDate a Bad Boy "	Steve Hoefer	Dan Schneider	May9,2009	217/225	6.5
45	20	"iReunite with Missy"	Adam Weissman	Jake Farrow	May16,2009	218	4.3
46	21	"iTake on Dingo"	David Kendall	Jake Farrow	June13,2009	226	3.4
47	22	"iMust Have Locker 239 "	David Kendall	Eric Goldberg & Peter Tibbals	June27,2009	220	4.0
48	23	"iTwins"	Russ Reinsel	Eric Goldberg & Peter Tibbals	July11,2009	224	5.2
