Date	Opponent	Score	Loss	Attendance	Record
August 1	Royals	2 - 1	Stottlemyre (2-5)	48,528	52-54
August 2	Royals	8 - 0	Gubicza (9-9)	48,765	53-54
August 3	Royals	5 - 0	Key (7-13)	48,731	53-55
August 4	Yankees	2 - 1	Parker (3-2)	48,789	54-55
August 5	Yankees	5 - 4	Ward (4-9)	49,155	54-56
August 6	Yankees	6 - 5	Terrell (0-2)	49,025	55-56
August 7	Rangers	2 - 1	Jeffcoat (5-5)	48,773	56-56
August 8	Rangers	7 - 0	Witt (9-10)	48,689	57-56
August 9	Rangers	4 - 3	Stieb (11-7)	48,962	57-57
August 11	@ Royals	6 - 2	Flanagan (6-8)	40,027	57-58
August 12	@ Royals	2 - 0	Gubicza (10-10)	40,934	58-58
August 13	@ Royals	8 - 3	Cerutti (9-6)	33,619	58-59
August 14	@ Red Sox	4 - 2	Boddicker (10-9)	35,058	59-59
August 15	@ Red Sox	7 - 2	Smithson (6-11)	34,800	60-59
August 16	@ Red Sox	7 - 3	Murphy (3-6)	35,310	61-59
August 17	@ Orioles	11 - 6	Cerutti (9-7)	40,147	61-60
August 18	@ Orioles	9 - 2	Johnson (2-2)	31,668	62-60
August 19	@ Orioles	5 - 1	Milacki (7-11)	38,111	63-60
August 20	@ Orioles	7 - 2	Stieb (12-8)	37,242	63-61
August 22	Tigers	3 - 2 (14)	Núñez (2-3)	49,072	64-61
August 23	Tigers	11 - 4	Robinson (3-3)	49,233	65-61
August 24	Tigers	11 - 3	Morris (3-11)	49,201	66-61
August 25	Brewers	3 - 1	Peterek (0-1)	49,457	67-61
August 26	Brewers	7 - 0	Higuera (9-5)	49,507	68-61
August 27	Brewers	5 - 4	Bosio (14-9)	49,507	69-61
August 28	Brewers	8 - 2	Cerutti (9-8)	49,219	69-62
August 29	White Sox	3 - 2	Pall (4-5)	49,565	70-62
August 30	White Sox	2 - 1	Dotson (4-8)	49,435	71-62
August 31	White Sox	5 - 1	Rosenberg (4-10)	49,422	72-62
