District	Incumbent	Party	First elected	Result	Candidates
Virginia 2	James Stephenson	Federalist	1809	Retired Federalist hold	John Baker (F) 56.5% Daniel Morgan (DR) 43.5%
Virginia 3	John Smith	Democratic-Republican	1801	Re-elected	John Smith (DR) 100%
Virginia 6	Daniel Sheffey	Federalist	1809	Re-elected	Daniel Sheffey (F) 100%
Virginia 7	Joseph Lewis, Jr.	Federalist	1803	Re-elected	Joseph Lewis, Jr. (F) 80.0% John Love (DR) 19.9%
Virginia 10	John Dawson	Democratic-Republican	1797	Re-elected	John Dawson (DR) 100%
Virginia 11	John Roane	Democratic-Republican	1809	Re-elected	John Roane (DR)
Virginia 12	Burwell Bassett	Democratic-Republican	1805	Re-elected	Burwell Bassett (DR) 59.5% John Eyre (F) 40.5%
Virginia 13	William A. Burwell	Democratic-Republican	1806 (special)	Re-elected	William A. Burwell (DR) 100%
Virginia 14	Matthew Clay	Democratic-Republican	1797	Re-elected	Matthew Clay (DR) John Kerr (DR)
Virginia 15	John Randolph	Democratic-Republican	1799	Re-elected	John Randolph (DR) 67.8% John W. Eppes (DR) 32.2%
Virginia 17	Thomas Gholson, Jr.	Democratic-Republican	1808 (special)	Re-elected	Thomas Gholson, Jr. (DR)
Virginia 18	Peterson Goodwyn	Democratic-Republican	1803	Re-elected	Peterson Goodwyn (DR) 100%
Virginia 19	Edwin Gray	Democratic-Republican	1799	Re-elected	Edwin Gray (DR) 62.2% Samuel Butler (DR) 37.8%
Virginia 21	David S. Garland	Democratic-Republican	1809 (special)	Retired Democratic-Republican hold	Hugh Nelson (DR) 100%
