Name	Years	Area	Authority	Decile	Roll
Anchorage Park School	1–6	Pakuranga	State	4	129
Baverstock Oaks School	1–8	Flat Bush	State	10	712
Botany Downs School	1–6	Botany Downs	State	10	485
Bucklands Beach Intermediate	7–8	Bucklands Beach	State	9	800
Bucklands Beach Primary School	1–6	Bucklands Beach	State	10	478
Chapel Downs School	1–6	East Tamaki	State	2	583
Cockle Bay School	1–6	Howick	State	10	713
Elm Park School	1–6	Pakuranga Heights	State	6	545
Farm Cove Intermediate	7–8	Pakuranga	State	8	609
Howick Intermediate	7–8	Howick	State	5	376
Howick Primary School	1–6	Howick West	State	8	301
Macleans Primary School	1–6	Bucklands Beach	State	8	297
Mellons Bay School	1–6	Howick	State	10	504
Mission Heights Primary	1–6	Flat Bush	State	10	624
Owairoa School	1–6	Howick	State	9	737
Pakuranga Heights School	1–6	Pakuranga	State	6	483
Pakuranga Intermediate	7–8	Pakuranga	State	4	269
Pigeon Mountain School	1–6	Bucklands Beach	State	9	520
Point View School	1–6	Botany Downs	State	10	800
Riverhills School	1–6	Pakuranga	State	7	71
Riverina School	1–6	Pakuranga	State	3	178
Sancta Maria Catholic Primary School	1–6	Botany Downs	State integrated	7	283
Shelly Park School	1–6	Howick	State	10	412
Somerville Intermediate School	7–8	Howick	State	10	991
St Mark's Catholic School	1–6	Pakuranga	State integrated	8	255
Star of the Sea School	1–6	Howick	State integrated	9	533
Sunny Hills School	1–8	Pakuranga	State	10	541
Wakaaranga School	1–6	Farm Cove	State	8	688
Willowbank School	1–6	Howick	State	9	755
