Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 10, 1961	at Buffalo Bills	W 22–10	War Memorial Stadium	1–0	16,636
2	September 16, 1961	at Boston Patriots	L 17–45	Boston University Field	1–1	14,479
3	September 24, 1961	at New York Titans	L 28–35	Polo Grounds	1–2	14,381
4	October 1, 1961	at Oakland Raiders	L 19–33	Candlestick Park	1–3	8,361
5	October 8, 1961	Dallas Texans	L 12–19	Bears Stadium	1–4	14,500
6	October 15, 1961	Oakland Raiders	W 27–24	Bears Stadium	2–4	11,129
7	October 22, 1961	New York Titans	W 27–10	Bears Stadium	3–4	12,508
8	October 29, 1961	at San Diego Chargers	L 0–37	Balboa Stadium	3–5	32,584
9	November 5, 1961	Houston Oilers	L 14–55	Bears Stadium	3–6	11,564
10	November 12, 1961	San Diego Chargers	L 16–19	Bears Stadium	3–7	7,859
11	November 19, 1961	Buffalo Bills	L 10–23	Bears Stadium	3–8	7,645
12	November 26, 1961	at Houston Oilers	L 14–45	Jeppesen Stadium	3–9	27,874
13	December 3, 1961	Boston Patriots	L 24–28	Bears Stadium	3–10	9,303
14	December 10, 1961	at Dallas Texans	L 21–49	Cotton Bowl	3–11	8,000
