Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Abe Mango Dorsa	47.0N	212.0E	800.0	1997	Tukano (Brazil) daughter of sun god.
Achek Dorsa	37.2S	230.0E	1,000.0	1997	Dinka (Sudan) wife of rain god Deng.
Aditi Dorsa	30.0S	189.0E	1,200.0	1997	Indian sky goddess.
Ahsonnutli Dorsa	47.9N	196.5E	1,708.0	1985	Navajo (N. America) spirit of light and sky.
Aida-Wedo Dorsa	73.0N	214.0E	450.0	1997	Haitian rainbow spirit.
Akewa Dorsa	45.5N	184.0E	900.0	1997	Toba (Argentina) sun goddess.
Akuanda Dorsa	63.5N	232.0E	800.0	1997	Adygan light deity.
Allat Dorsa	60.0N	70.0E	750.0	1985	Arab sky goddess.
Amitolane Dorsa	77.0S	335.0E	900.0	1997	Zuni (SW USA) name of the rainbow.
Anpao Dorsa	62.0N	207.0E	550.0	1997	Dakota name of the dawn.
Arev Dorsa	52.0S	216.0E	420.0	2000	Armenian female solar deity.
Asiaq Dorsa	53.0S	55.0E	400.0	1997	Eskimo weather goddess.
Auska Dorsum	59.9N	357.8E	361.0	1985	Lithuanian goddess of sun rays.
Aušra- Dorsa	49.4N	25.3E	859.0	1985	Lithuanian dawn goddess.
Barbale Dorsa	15.0N	143.0E	1,200.0	1997	Georgian sun goddess.
Ben Dorsa	71.2N	284.1E	628.0	1985	Vietnamese sky goddess.
Bezlea Dorsa	30.4N	36.5E	807.0	1985	Lithuanian evening light goddess.
Biliku Dorsa	47.0S	138.0E	600.0	1997	Andaman Isl. moonsoon deity.
Boszorkany Dorsa	19.5S	105.0E	550.0	2003	Hungarian witch, flies over the sky.
Charykh-Keyok Dorsa	54.5N	285.0E	550.0	1997	Khakasian (S. Siberia) magic bird.
Chih Nu Dorsum	73.0S	195.0E	625.0	1994	Chinese sky goddess.
Dennitsa Dorsa	85.6N	205.9E	872.0	1985	Slavic goddess of day, light.
Dodola Dorsa	46.8N	272.6E	607.0	1985	South Slavic rain goddess.
Dudumitsa Dorsa	13.5S	358.0E	980.0	2000	Bulgarian rain deity.
Dyan-Mu Dorsa	78.2N	31.9E	687.0	1985	Chinese lightning goddess.
Dylacha Dorsa	19.0S	76.0E	650.0	1997	Evenk/Tungu (Siberia) sun goddess.
Etain Dorsa	45.0S	199.0E	1,400.0	1997	Irish sun and horse goddess.
Frigg Dorsa	51.2N	150.6E	896.0	1985	Norse, wife of supreme god Odin.
Fulgora Dorsa	78.5 N	342.0 E	463.0	2009	Fulgora , Roman lightning god
Hemera Dorsa	51.0N	243.4E	587.0	1985	Greek goddess, personification of day.
Hera Dorsa	36.4N	29.5E	813.0	1985	Greek sky goddess, wife of Zeus.
Iris Dorsa	52.7N	221.3E	2,050.0	1985	Greek goddess of the rainbow.
Iyele Dorsa	50.0N	278.7E	595.0	1985	Moldavian witch who directed the winds.
Juno Dorsum	31.0S	95.6E	1,652.0	1982	Roman sky goddess; sister and consort of Jupiter.
Kadlu Dorsa	69.5S	188.0E	500.0	1997	Eskimo thunder deity.
Kamari Dorsa	59.2N	55.8E	589.0	1985	Georgian sky maiden, daughter of weather god.
Kastiatsi Dorsa	53.0S	245.0E	1,200.0	1997	Acoma (SW USA) name of the rainbow.
Khadne Dorsa	14.0S	334.5E	220.0	1997	Nenets (Samoyed) snowstorm maiden.
Kuldurok Dorsa	50.4S	61.0E	1,100.0	1997	Uzbek thunder and lightning goddess.
Lau-ma Dorsa	64.8N	190.4E	1,517.0	1985	Latvian witch, flies in the sky.
Laverna Dorsa	50.0S	132.0E	1,100.0	1997	Roman darkness and income goddess.
Lukelong Dorsa	73.3N	178.8E	1,566.0	1985	Polynesian goddess, creator of heavens.
Lumo Dorsa	24.5N	149.0E	500.0	1997	Tibetan goddess of sky, rain, and mist.
Mardezh-Ava Dorsa	32.4N	68.6E	906.0	1985	Marian (Volga Finn) wind goddess.
Menkerot Dorsa	20.0S	351.5E	770.0	2000	Ancient Egyptian goddess, mother of the sun.
Metelitsa Dorsa	16.0N	31.0E	1,300.0	1997	E. Slavic snowstorm deity.
Naatse-elit Dorsa	66.0S	249.0E	950.0	1997	Navajo rainbow goddess.
Nambi Dorsum	72.5S	213.0E	1,125.0	1994	Ugandan sky goddess.
Naran Dorsa	54.0S	238.0E	600.0	1997	Mongolian sun goddess.
Natami Dorsa	71.5S	258.0E	800.0	1997	Mon (Burma/Myanmar) beauty fairy.
Nephele Dorsa	39.7N	138.8E	1,937.0	1985	Greek cloud goddess.
Nichka Dorsa	10.0S	354.0E	550.0	2000	Ukrainian night deity.
Norwan Dorsa	65.0N	163.0E	450.0	1997	Wintun (California) light goddess.
Nuvakchin Dorsa	53.0S	212.0E	2,200.0	1997	Hopi snow maiden ('kachina').
Odzerchen Dorsa	72.0S	152.0E	300.0	2000	Tibetan goddess of boundless light.
Ojuz Dorsa	6.0N	37.0E	400.0	1997	Tajik deity of frost and cold wind.
Okipeta Dorsa	67.5N	240.0E	1,200.0	1985	Greek goddess of whirlwind.
Oshumare Dorsa	58.5S	79.0E	550.0	1997	Yoruba rainbow deity.
Oya Dorsa	21.5N	157.5E	480.0	2003	Yoruba (Nigeria) goddess of violent rainstorms.
Pandrosos Dorsa	58.2N	207.7E	1,254.0	1985	Greek dew goddess.
Poludnitsa Dorsa	5.0N	179.5E	1,500.0	1997	E. Slavic witch, corn fields deity.
Pulugu Dorsa	65.0S	225.0E	650.0	1997	Andaman Isl. moonsoon wind deity.
Ragana Dorsa	69.0S	246.0E	950.0	1997	Latvian witch.
Rokapi Dorsa	55.0S	222.0E	2,200.0	1997	Georgian main witch.
Salme Dorsa	58.0N	25.2E	447.0	1991	Estonian sky maiden.
Saule Dorsa	58.0S	206.0E	1,375.0	1994	Lithuanian and Latvian sun goddess.
Sel-Anya Dorsa	79.4N	81.3E	975.0	1985	Hungarian wind goddess.
Semuni Dorsa	75.9N	8.0E	514.0	1985	Ulchian (Siberia) sky goddess.
Shishimora Dorsa	37.0N	297.0E	800.0	1997	E. Slavic night and dreams deity.
Sige Dorsa	31.2N	106.9E	478.0	1991	Babylonian sky goddess.
Siksaup Dorsa	73.0S	228.0E	650.0	1997	Kachin (Burma/Myanmar) sun goddess.
Sirona Dorsa	43.5S	193.5E	700.0	1997	Celtic sky goddess.
Sogbo Dorsa	40.0S	237.0E	900.0	1997	Fon (Benin) thunder goddess/god.
Spidola Dorsa	73.5S	325.0E	950.0	1997	Latvian witch.
Sunna Dorsa	53.0S	134.0E	500.0	1997	Norse sun goddess.
Surupa Dorsa	71.7N	209.0E	981.0	1997	Hindu sky goddess, bringer of rain.
Tezan Dorsa	81.4N	47.1E	1,079.0	1985	Etruscan dawn goddess.
Tikoiwuti Dorsa	56.0N	225.0E	1,000.0	1997	Hopi goddess of darkness.
Tinianavyt Dorsa	51.0S	239.0E	1,500.0	1997	Koryak (Kamchatka) wife of sky man.
Tsovinar Dorsa	46.0S	254.0E	1,100.0	1997	Tsovinar - Armenian lightning deity.
Tukwunag Dorsa	69.0S	155.0E	1,000.0	1997	Hopi cumulus cloud maiden ('kachina').
Unelanuhi Dorsa	12.0N	87.0E	2,600.0	1997	Cherokee sun goddess.
Uni Dorsa	33.7N	114.3E	800.0	1985	Etruscan goddess, same as Hera or Juno.
Unuk Dorsa	4.5S	351.5E	400.0	1997	Eskimo (Chukotka) night maiden.
Urkuk Dorsa	12.0S	320.0E	600.0	1997	Nivkhi (Sakhalin Isl.) night maiden.
Vaiva Dorsum	53.2S	204.0E	520.0	1994	Lithuanian rainbow goddess.
Varma-Ava Dorsa	62.3N	268.8E	767.0	1985	Mordvinian (Volga Finn) wind goddess.
Vedma Dorsa	42.0N	159.0E	3,345.0	1985	East Slav witch.
Vejas-mate Dorsa	70.5S	245.0E	1,600.0	1997	Latvian "wind mother".
Wala Dorsa	17.0S	62.0E	500.0	1997	Fox (US Plains) name of the dawn.
Yalyane Dorsa	7.0N	177.0E	1,200.0	1997	Nenets (Samoyed) maiden of light.
Yumyn-Udyr Dorsa	81.4N	164.7E	1,086.0	1985	Marian (Volga Finn) daughter of main god.
Zaryanitsa Dorsa	0.0N	170.0E	1,100.0	1997	E. Slavic night lightning goddess.
Zimcerla Dorsa	47.5S	73.5E	850.0	1997	W. Slavic dawn goddess.
