Name	Nationality	Pos.	College	Season entered	Manner of entry	Left team
Hassan Adams	United States	G	University of Arizona	2010-11	Import	2011
Nur Jam Alfad	Philippines	G	San Sebastian College-Recoletos	2009-10	Free Agency	2010
Mark Andaya	Philippines	C	Colegio de San Juan de Letran	2008-09	Free Agency	2009
Ryan Araña	Philippines	G	De La Salle University-Manila	2007-08	Draftee	present
Marcy Arellano	Philippines	G	University of the East	2009-10	Draftee	2011
Froilan Baguion	Philippines	G	National University	2006-07	Free agency	2008
Estong Ballesteros	Philippines	F	University of Santo Tomas	2006-07	Free agency	2008
Nic Belasco	Philippines	F	College of Notre Dame of Maryland	2007-08	Trade	2008
Beau Belga	Philippines	C	Philippine Christian University	2010-11	Trade	present
Ronjay Buenafe	Philippines	G	Emilio Aguinaldo College	2010-11	Trade	present
Paolo Bugia	Philippines	F	Ateneo de Manila University	2010-11	Free Agency	2011
Junjun Cabatu	Philippines	F	De La Salle University-Manila	2006-07	PBL carry-over	2007
Jeffrei Chan	Philippines	F	Far Eastern University	2009-10	Trade	present
Charles Clark III	United States	C	University of Mississippi	2006-07	Import	2008-09
Alex Compton	United States	G	Cornell University	2006-07	Import	2008
Willard Crews	United States	F	Bowie State University	2011-12	Import	2012
Jervy Cruz	Philippines	F	University of Santo Tomas	2009-10	Draftee	present
Joe Devance	Philippines	F	University of Texas at El Paso	2007-08	Draftee	2008
Don Dulay	United States	G	El Camino College	2007-08	Free agency	2010
Gherome Ejercito	Philippines	G	Adamson University	2008-09	Free Agency	2009
Edward Joseph Feihl	Philippines	C	Adamson University	2006-07	Free agency	2007-08
John Ferriols	Philippines	F	University of San Jose - Recoletos	2010-11	Free Agency	2011
Marquise Gainous	United States	C	Texas Christian University	2008	Import	2008
Niño Gelig	Philippines	G	University of Santo Tomas	2006-07	Free agency	2008
Michael Hrabak	United States	F	Central Arizona College	2009-10	Trade	2010
Jireh Ibañes	Philippines	F	University of the Philippines, Diliman	2006-07	Draftee	present
Mark Isip	Philippines	F	Far Eastern University	2007-08	Free Agency	2009
Chito Jaime	Philippines	F	AMA Computer University	2011-12	Free Agency	present
RJ Jazul	Philippines	G	Colegio de San Juan de Letran	2010-11	Trade	2011
Jason Keep	United States	C	University of San Diego	2008	Import	2008
Doug Kramer	Philippines	C	Ateneo de Manila University	2010-11	Trade	2011
Gilbert Lao	Philippines	F	University of Santo Tomas	2006-07	Dispersal draft	2007
Eddie Laure	Philippines	F	Adamson University	2008-09	Trade	2010
Paul Lee	Philippines	G	University of the East	2011-12	Draftee	present
Jai Lewis	United States	F	George Mason University	2008-09	Import	2010
Denver Lopez	Philippines	G	California State University, Fullerton	2006-07	Dispersal draft	2009
Ronnie Matias	Philippines	F	University of Manila	2010-11	Trade	present
Joey Mente	Philippines	G	Lyceum of the Philippines	2006-07	Free agency	2008
Solomon Mercado	United States	G	Far Eastern University	2008-09	Trade	2011
Rod Nealy	United States	F	Houston Baptist University	2009-10	Import	2010
Gabe Norwood	United States	F	George Mason University	2008-09	Draftee	present
J.R. Quiñahan	Philippines	F	University of Visayas	2011-12	Trade	present
Jay-R Reyes	Philippines	C	University of the Philippines, Diliman	2006-07	PBL carry-over	2011
Larry Rodriguez	Philippines	F	PMI Colleges	2010-11	Trade	present
Jay Sagad	Philippines	F	De La Salle-College of Saint Benilde	2006-07	PBL carry-over	2007-08
Allan Salangsang	Philippines	F	Colegio de San Juan de Letran	2007-08	Free agency	2010
Rob Sanders	United States	C	Providence College	2006-07	Import	2006-07
Adonis Santa Maria	Philippines	C	De La Salle University-Manila	2006-07	Free agency	2008
Corey Santee	United States	G	Texas Christian University	2008	Import	2008
Ty Tang	Philippines	G	De La Salle University	2008-09	Draftee	present
Jojo Tangkay	Philippines	G	Southwestern University	2006-07	Free agency	2008
Mark Telan	Philippines	F	De La Salle University	2009-10	Free Agency	2010
Jonathan Uyloan	Philippines	G	Goldenwest College	2010-11	Free Agency	present
Josh Vanlandingham	United States	G	Pacific Lutheran University	2010-11	Draftee	2011
Rob Wainwright	Philippines	C	Solano Community College	2006-07	Dispersal draft	2009
Wayland White	United States	C	University of New Mexico	2006-07	Import	2006-07
