Res.	Record	Opponent	Round	Time	Location
Loss	26-17-2	Hideo Tokoro	1	0:39	Tokyo , Japan
Loss	26-16-2	Nico Verresen	1	4:17	Tokyo , Japan
Loss	26-15-2	Masakatsu Ueda	1	4:23	Tokyo , Japan
Win	26–14–2	Ryota Matsune	2	0:21	Tokyo , Japan
Win	25–14–2	Corey Grant	1	3:20	Tokyo , Japan
Loss	24–14–2	Takeshi Inoue	1	4:41	Tokyo , Japan
Loss	24–13–2	Hatsu Hioki	1	3:32	Tokyo , Japan
Loss	24–12–2	Akitoshi Tamura	3	2:37	Tokyo , Japan
Loss	24–11–2	Hideki Kadowaki	1	4:09	Tokyo , Japan
Win	24–10–2	Augusto Frota	1	1:21	Tokyo , Japan
Loss	23–10–2	Antonio Carvalho	2	0:49	Tokyo , Japan
Loss	23–9–2	Gilbert Melendez	1	1:32	Kanagawa , Japan
Win	23–8–2	Makoto Ishikawa	3	5:00	Tokyo , Japan
Win	22–8–2	Katsuya Toida	2	1:21	Tokyo , Japan
Win	21–8-2	Bao Quach	1	3:04	Honolulu, Hawaii , United States
Win	20–8-2	Erikas Petraitis	2	2:20	Tokyo , Japan
Loss	19–8-2	Alexandre Franca Nogueira	1	0:41	Chiba , Japan
Win	19–7-2	Ryan Ackerman	1	2:12	Hiroshima , Japan
Loss	18–7-2	Joachim Hansen	1	2:09	Tokyo , Japan
Draw	18-6-2	Takumi Nakayama	3	5:00	Tokyo , Japan
Loss	18–6–1	Javier Vazquez	3	5:00	Osaka , Japan
Loss	18–5–1	Takanori Gomi	3	5:00	Chiba , Japan
Win	18–4–1	Marcio Ramos Barbosa	3	5:00	Osaka , Japan
Loss	17–4–1	Caol Uno	1	2:21	Chiba , Japan
Win	17–3–1	Takuya Kuwabara	2	5:00	Kanagawa , Japan
Win	16–3–1	Yves Edwards	1	0:18	Honolulu, Hawaii , United States
Win	15–3–1	Rafael Cordeiro	1	0:58	Chiba , Japan
Win	14–3–1	Phil Johns	1	0:54	Osaka , Japan
Loss	13–3–1	Caol Uno	3	4:02	Yokohama , Japan
Win	13–2–1	Charles Diaz	1	0:06	Tokyo , Japan
Loss	12–2–1	André Pederneiras	1	4:20	Chiba , Japan
Win	12–1–1	Michael Buell	1	0:31	Tokyo , Japan
Loss	11–1–1	Joel Gerson	1	3:53	Tokyo , Japan
Win	11–0–1	John Lewis	2	1:23	Chiba , Japan
Win	10–0–1	Maurice Corty	1	2:01	Tokyo , Japan
Win	9–0–1	Alan Fried	1	0:59	Tokyo , Japan
Win	8–0–1	Ali Mihoubi	1	2:21	Tokyo , Japan
Win	7–0–1	Ricardo Botelho	3	1:24	Tokyo , Japan
Draw	6–0–1	John Lewis	3	8:00	Chiba , Japan
Win	6–0	Kyuhei Ueno	1	4:04	Tokyo , Japan
Win	5–0	Masato Suzuki	1	3:00	Tokyo , Japan
Win	4–0	Isamu Osugi	1	2:01	Tokyo , Japan
Win	3–0	Ron Balicki	1	2:14	Saitama , Japan
Win	2–0	Katsuaki Yano	1	2:23	Tokyo , Japan
Win	1–0	Michael McAuliffe	2	2:18	Tokyo , Japan
