Year	Place	Gold	Silver	Bronze
1962	Cairo	Karl Wenk ( FRG )	Vladimir Chuian ( URS )	James Enoch Hill ( USA )
1966	Wiesbaden	David Boyd ( USA )	Jerzy Nowicki ( POL )	Bill Krilling ( USA )
1970	Phoenix	Manfred Fiess ( RSA )	Esa Einari Kervinen ( FIN )	Klaus Zaehringer ( FRG )
1974	Thun	Karel Bulan ( TCH )	Helge Edvin Anshushaug ( NOR )	Wolfram Waibel Sr. ( AUT )
1978	Seoul	Alister Allan ( GBR )	Lones Wigger ( USA )	Lanny Bassham ( USA )
1982	Caracas	Victor Daniltchenko ( URS )	William Beard ( USA )	Viktor Vlasov ( URS )
1986	Suhl	Sandor Bereczky ( HUN )	Gale Stewart ( CAN )	Michael Heine ( FRG )
1990	Moscow	Viatcheslav Botchkarev ( URS )	Harald Stenvaag ( NOR )	Tadeusz Czerwinski ( POL )
1994	Milan	Wenjie Li ( CHN )	Stevan Pletikosic ( IOP )	Michel Bury ( FRA )
1998	Barcelona	Thomas Tamas ( USA )	Juha Hirvi ( FIN )	Sergei Kovalenko ( RUS )
2002	Lahti	Matthew Emmons ( USA )	Rajmond Debevec ( SLO )	Espen Berg-Knutsen ( NOR )
2006	Zagreb	Sergei Martynov ( BLR )	Jury Sukhorukov ( UKR )	Marco de Nicolo ( ITA )
