Rocket	Country	Type	Launches	Successes	Failures	Partial failures
Ariane 5ECA	Europe	Ariane 5	6	6	0	0
Ariane 5GS	Europe	Ariane 5	1	1	0	0
Atlas V 401	United States	Atlas V	3	3	0	0
Atlas V 421	United States	Atlas V	1	1	0	0
Atlas V 431	United States	Atlas V	1	1	0	0
Delta II 7320	United States	Delta II	2	2	0	0
Delta II 7920	United States	Delta II	3	3	0	0
Delta II 7925	United States	Delta II	3	3	0	0
Delta IV-H	United States	Delta IV	1	1	0	0
Delta IV-M+(4,2)	United States	Delta IV	1	1	0	0
Delta IV-M+(5,4)	United States	Delta IV	1	1	0	0
Dnepr-1	Ukraine	Dnepr	1	1	0	0
Falcon 1	United States	Falcon	1	1	0	0
H-IIA 202	Japan	H-IIA	2	2	0	0
H-IIB 304	Japan	H-IIB	1	1	0	0
Kosmos-3M	Russia	Kosmos	1	1	0	0
Long March 2C	People's Republic of China	Long March 2	2	2	0	0
Long March 2D	People's Republic of China	Long March 2	1	1	0	0
Long March 3B	People's Republic of China	Long March 3	1	0	0	1
Long March 3C	People's Republic of China	Long March 3	1	1	0	0
Long March 4C	People's Republic of China	Long March 3	1	1	0	0
Minotaur I	United States	Minotaur I	1	1	0	0
Naro-1	Russia South Korea	Naro	1	0	1	0
Proton-K / DM-2	Russia	Proton	1	1	0	0
Proton-M / DM-2	Russia	Proton	1	1	0	0
Proton-M / Briz-M	Russia	Proton	8	8	0	0
PSLV-CA	India	PSLV	2	2	0	0
Rokot / Briz-KM	Russia	UR-100	3	3	0	0
Safir	Iran	Safir	1	1	0	0
Soyuz-2.1a / Fregat	Russia	Soyuz	1	0	1	0
Soyuz-2.1b / Fregat	Russia	Soyuz	1	1	0	0
Soyuz-FG	Russia	Soyuz	4	4	0	0
Soyuz-U	Russia	Soyuz	7	7	0	0
Space Shuttle	United States	Space Shuttle	5	5	0	0
Taurus-XL 3110	United States	Taurus	1	0	1	0
Tsyklon-3	Ukraine	Tsyklon	1	1	0	0
Unha	North Korea	Unha	1	0	1	0
Zenit-3SL	Ukraine	Zenit	1	1	0	0
Zenit-3SLB	Ukraine	Zenit	3	3	0	0
