Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 7, 1980	at New York Jets	W 17–14	1–0	Shea Stadium	50777
2	September 14, 1980	Pittsburgh Steelers	L 17–20	1–1	Memorial Stadium	54914
3	September 21, 1980	at Houston Oilers	L 16–21	1–2	Astrodome	47878
4	September 28, 1980	New York Jets	W 35–21	2–2	Memorial Stadium	33373
5	October 5, 1980	at Miami Dolphins	W 30–17	3–2	Miami Orange Bowl	50631
6	October 12, 1980	at Buffalo Bills	W 17–12	4–2	Rich Stadium	73634
7	October 19, 1980	New England Patriots	L 21–37	4–3	Memorial Stadium	53924
8	October 26, 1980	St. Louis Cardinals	L 10–17	4–4	Memorial Stadium	33506
9	November 2, 1980	at Kansas City Chiefs	W 31–24	5–4	Arrowhead Stadium	52383
10	November 9, 1980	Cleveland Browns	L 27–28	5–5	Memorial Stadium	45369
11	November 16, 1980	at Detroit Lions	W 10–9	6–5	Pontiac Silverdome	77677
12	November 23, 1980	at New England Patriots	L 21–47	6–6	Schaeffer Stadium	60994
13	November 30, 1980	Buffalo Bills	W 28–24	7–6	Memorial Stadium	36184
14	December 7, 1980	at Cincinnati Bengals	L 33–34	7–7	Riverfront Stadium	35651
15	December 14, 1980	Miami Dolphins	L 14–24	7–8	Memorial Stadium	30564
