Actor	Character	Soap Opera	Years	Duration
Szőke Zoltán	Berényi Miklós	Barátok közt	1998—	16 years
Ábrahám Edit	Berényi Claudia	Barátok közt	1998—	16 years
Varga Izabella	Balogh Nóra	Barátok közt	1998—	16 years
Várkonyi András	Kertész Vilmos	Barátok közt	1998—	16 years
Tihanyi-Tóth Csaba	Novák László	Barátok közt	1998—	16 years
Rékasi Károly	Bartha Zsolt	Barátok közt	1998—	16 years
R. Kárpáti Péter	Berényi András	Barátok közt	1998–2012	14 years
Németh Kristóf	Kertész Géza	Barátok közt	1999–2012	13 years
Fodor Zsóka	Kertész Vilmosné Magdolna	Barátok közt	1998–2011	13 years
Csomor Csilla	Berényi Zsuzsa	Barátok közt	1998–2008, 2011—	13 years
Kővári Tamás	Novák Csaba	Barátok közt	1998–2010	12 years
Kinizsi Ottó	Balassa Imre	Barátok közt	1999–2010	11 years
Kiss Zoltán	Csurgó István	Barátok közt	1998–2009	11 years
