Team	Location	Venue	Capacity	Position in 2003
Gomel	Gomel	Central, Gomel	11,800	1
BATE	Borisov	City Stadium, Borisov	5,500	2
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	3
Torpedo-SKA	Minsk	Torpedo, Minsk	5,200	4
Shakhtyor	Soligorsk	Stroitel	5,000	5
Torpedo	Zhodino	Torpedo, Zhodino	3,020	6
Neman	Grodno	Neman	6,300	7
Naftan	Novopolotsk	Atlant	6,500	8
Dnepr-Transmash	Mogilev	Spartak, Mogilev	11,200	9
Belshina	Bobruisk	Spartak, Bobruisk	3,550	10
Dinamo Brest	Brest	OSK Brestskiy	10,080	11
Zvezda-VA-BGU	Minsk	Traktor	17,600	12
Darida	Minsk Raion	Darida	6,000	13
Slavia	Mozyr	Yunost	5,500	14
Lokomotiv	Vitebsk	Central, Vitebsk	8,300	First league , 1
MTZ-RIPO	Minsk	Traktor	17,600	First league , 2
