Heat	Lane	Name	Country	Mark
1	6	LoLo Jones	United States	7.82
1	5	Josephine Onyia	Spain	8.00
1	7	Yuliya Kondakova	Russia	8.01
1	2	Yevgeniya Snihur	Ukraine	8.06 PB
1	4	Micol Cattaneo	Italy	8.10
1	3	Nevin Yanit	Turkey	8.19
1	8	Cindy Billaud	France	8.19
1	1	Miriam Bobková	Slovakia	8.24
2	5	Anay Tejeda	Cuba	7.96
2	4	Candice Davis	United States	7.99
2	3	Lacena Golding-Clarke	Jamaica	8.00
2	7	Aleksandra Antonova	Russia	8.07
2	1	Sarah Claxton	United Kingdom	8.07 SB
2	8	Eline Berings	Belgium	8.10
2	2	Kia Davis	Liberia	8.10
2	6	Susanna Kallur	Sweden	DNS
