Episode	Garfield Episode 1	U.S. Acres Episode	Garfield Episode 2	Original Airdate
"Show 14"	Pest of a Guest	The Impractical Joker	Fat and Furry	September16,1989
"Show 15"	Rip Van Kitty	Grabbity	The Big Catnap	September16,1989
"Show 16"	The Great Getaway	Scrambled Eggs	Hansel and Garfield	September23,1989
"Show 17"	The Sludge Monster	Fortune Kooky	Heatwave Holiday	September23,1989
"Show 18"	One Good Fern Deserves Another	Goody-Go-Round	The Black Book	September30,1989
"Show 19"	The Legend of the Lake	Double Oh Orson	Health Feud	September30,1989
"Show 20"	Binky Gets Cancelled!	Show Stoppers	Cutie and the Beast	October7,1989
"Show 21"	The Lasagna Zone	Sleepytime Pig	Yojumbo	October7,1989
"Show 22"	Pros and Cons	Rooster Revenge	Lights! Camera! Garfield!	October14,1989
"Show 23"	Polecat Flats	Hogcules	Brain boy	October14,1989
"Show 24"	Maine Course	No Laughing Matter	Attack of the Mutant Guppies	October21,1989
"Show 25"	Robodie	First Aid Wade	Video Victim	October21,1989
"Show 26"	The Curse of the Klopman	Mud Sweet Mud	Rainy Day Dreams	October28,1989
"Show 27"	Basket Brawl	Origin of Power Pig	Cactus Jake Rides Again	October28,1989
"Show 28"	Binky Goes Bad!	Barn of Fear	Mini-Mall Matters	November4,1989
"Show 29"	Attention-Getting Garfield	Swine Trek	It Must be True!	November11,1989
"Show 30"	Arrivaderci, Odie!	Gort Goes Good	Feeling Feline	November18,1989
"Show 31"	The Bear Facts	Nothing to be Afraid of	The Big Talker	November18,1989
"Show 32"	Cactus Makes Perfect	Hogcules II	Crime and Nourishment	November25,1989
"Show 33"	T.V. of Tomorrow	Little Red Riding Egg	Well-Fed Feline	November25,1989
"Show 34"	Invasion of the Big Robots	Shelf Esteem	Housebreak Hotel	December2,1989
"Show 35"	First Class Feline	Hamelot	How to be Funny!	December2,1989
"Show 36"	Mystic Manor	Flop Goes the Weasel	The Legend of Long Jon	December9,1989
"Show 37"	China Cat	Cock-a-Doodle Dandy	Beach Blanket Bonzo	December9,1989
"Show 38"	Lemon-Aid	Hog Noon	Video Airlines	December16,1989
