Year	Chassis	Engine(s)	Tyres	Points
1951	BRM 15	BRM P15 1.5 V16 s	D	n/a 1
1954	Maserati 250F	Maserati 250F1 2.5 L6	D	n/a 2
1955	Maserati 250F	Maserati 250F1 2.5 L6	D	n/a 2
1956	Maserati 250F	Maserati 250F1 2.5 L6	P	n/a 2
1956	BRM P25	BRM P25 2.5 L4	D	n/a 1
1957	BRM P25	BRM P25 2.5 L4	D	n/a 1
1958	BRM P25	BRM P25 2.5 L4	D	18
1959	BRM P25	BRM P25 2.5 L4	D	18 3
1960	BRM P25 BRM P48	BRM P25 2.5 L4	D	8
1961	BRM P48/57	Climax FPF 1.5 L4	D	7
1962	BRM P57	BRM P56 2.1 V8	D	42
1963	BRM P57 BRM P61	BRM P56 2.1 V8 BRM P60 2.1 V8	D	36
1964	BRM P261	BRM P60 2.1 V8	D	42
1965	BRM P261	BRM P60 2.1 V8	D	45
1966	BRM P261 BRM P83	BRM P75 3.0 H16 BRM P60 2.1 V8	D	22
1967	BRM P261 BRM P83	BRM P75 3.0 H16 BRM P60 2.1 V8	G	17
1968	BRM P115	BRM P142 3.0 V12 BRM P75 3.0 H16	G	28
1969	BRM P133	BRM P142 3.0 V12	D	7
1970	BRM P133	BRM P142 3.0 V12	D	23
1971	BRM P133	BRM P142 3.0 V12	F	36
1972	BRM P160	BRM P142 3.0 V12	F	14
1973	BRM P160	BRM P142 3.0 V12	F	12
1974	BRM P160 BRM P201	BRM P142 3.0 V12	F	10
1975	BRM P201	BRM P200 3.0 V12	G	—
1976	BRM P201B	BRM P200 3.0 V12	G	—
1977	BRM P207	BRM P202 3.0 V12 BRM P200 3.0 V12	G	—
