Rank	Celebrity	Professional Partner	Season	Average
1	Maciej Jachowski	Janja Lesar	12	32.0
2	Stachursky	Dominika Kublik-Marzec	6	29.0
3	Przemysław Miarczyński	Magdalena Soszyńska-Michno	11	28.5
4	Piotr Adamski	Blanka Winiarska	2	28.0
5	Paweł Stasiak	Janja Lesar	8	27.0
5	Marek Kościkiewicz	Agnieszka Pomorska	10	27.0
6	Wojciech Majchrzak	Magdalena Soszyńska-Michno	5	25.5
7	Michał Milowicz	Izabela Mika	4	25.0
7	Michał Lesień	Katarzyna Krupa	7	25.0
8	Robert Kudelski	Agnieszka Pomorska	1	24.0
9	Paolo Cozza	Kamila Drezno	3	18.5
10	Zbigniew Urbański	Izabela Janachowska	13	13.0
