Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Paul Dobson	Gateshead	25	2	3	2	32
Carl Alford	Kettering Town	23	1	0	3	27
Leroy May	Stafford Rangers	21	0	0	1	22
Andy Green	Altrincham	19	2	0	0	21
Clive Walker	Woking	19	1	5	0	25
Recky Carter	Bromsgrove Rovers	18	0	0	12	30
David Leworthy	Dover Athletic	18	5	0	2	25
Phil Power	Macclesfield Town	18	0	3	2	23
Malcolm O'Connor	Northwich Victoria	18	4	1	0	23
Darran Hay	Woking	17	0	0	0	17
Dean Birkby	Bath City	16	0	0	2	18
Mark Hughes	Runcorn	16	0	2	1	19
Paul Wilson	Woking	17	0	0	0	17
