Actor	Character	Soap Opera	Years	Duration
Tom Jordon	Charlie Kelly	Fair City	1989—	25 years
Tony Tormey	Paul Brennan	Fair City	1989—	25 years
Jim Bartley	Bela Doyle	Fair City	1989—	25 years
Sarah Flood	Suzanne Halpin	Fair City	1989–2013	24 years
Pat Nolan	Barry O'Hanlon	Fair City	1989–2011	22 years
Martina Stanley	Dolores Molloy	Fair City	1992—	22 years
Joan Brosnan Walsh	Mags Kelly	Fair City	1989–2009	20 years
Jean Costello	Rita Doyle	Fair City	1989–2008, 2010	19 years
Ciara O'Callaghan	Yvonne Gleeson	Fair City	1991–2004, 2008—	19 years
Celia Murphy	Niamh Cassidy	Fair City	1995—	19 years
Mick Lally	Miley Byrne	Glenroe	1983–2001	18 years
Geraldine Plunkett	Mary McDermott Moran	Glenroe	1983–2001	18 years
Emmet Bergin	Dick Moran	Glenroe	1983–2001	18 years
Robert Carrickford	Stephen Brennan	Glenroe	1983–2001	18 years
Joe Lynch	Dinny Byrne	Glenroe	1983–2000	17 years
Mary McEvoy	Biddy McDermott Byrne	Glenroe	1983–2000	17 years
Diarmuid Mac An Adhastair	Séamus O`Catháin	Ros na Rún	1996—	18 years
Dave Duffy	Leo Dowling	Fair City	1996—	18 years
Seamus Power	Dermot Fahey	Fair City	1996—	18 years
David Mitchell	Jimmy Doyle	Fair City	1991–2008	17 years
Maureen Toal	Teasy Byrne	Glenroe	1985–2001	16 years
Alan Stanford	George Manning	Glenroe	1985–2001	16 years
Isobel Mahon	Michelle	Glenroe	1985–2001	16 years
Niamh Quirke	Rachel Brennan	Fair City	1997—	17 years
Aaron Harris	Miles Byrne	Fair City	1998—	16 years
Maclean Burke	Damien Halpin	Fair City	1998—	16 years
Tom Hopkins	Christy Phelan	Fair City	1998—	16 years
Claudia Carroll	Nicola Prendergast	Fair City	1990–2005, 2008	15 years
Aisling O'Neill	Carol Meehan	Fair City	1999—	15 years
Shiela McWade	Kay Costello	Fair City	1994–2008	14 years
Paul Raynor	Harry Molloy	Fair City	1992–2005	13 years
Mick Nolan	Ray O'Connell	Fair City	2000—	14 years
Sorcha Furlong	Orla Kirwan	Fair City	2000—	14 years
Gerard Byrne	Malachy Costello	Fair City	1996–2009	13 years
Joan O'Hara	Eunice Dunstan	Fair City	1994–2007	13 years
Pat Leavy	Hannah Finnegan	Fair City	1990–2003	13 years
Rachel Sarah Murray	Jo Fahey	Fair City	2000–2011, 2012—	13 years
Una Crawford O'Brien	Renee Phelan	Fair City	1998–2009, 2012—	13 years
Tommy O'Neill	John Deegan	Fair City	2001—	13 years
Seamus Moran	Mike Gleeson	Fair City	1996–2008	12 years
Rebecca Smith	Annette Daly	Fair City	1997–2009	12 years
Grace Barry	Mary-Ann Byrne	Glenroe	1990–2001	11 years
Gemma Doorly	Sarah O'Leary	Fair City	2001–2011	10 years
