Place	Player	Country	Score	To par	Money ( $ )
T1	Fuzzy Zoeller	United States	71-66-69-70=276	–4	Playoff
T1	Greg Norman	Australia	70-68-69-69=276	–4	Playoff
3	Curtis Strange	United States	69-70-74-68=281	+1	36,000
T4	Johnny Miller	United States	74-68-70-70=282	+2	22,335
T4	Jim Thorpe	United States	68-71-70-73=282	+2	22,335
6	Hale Irwin	United States	68-68-69-79=284	+4	16,238
T7	Peter Jacobsen	United States	72-73-73-67=285	+5	14,237
T7	Mark O'Meara	United States	71-74-71-69=285	+5	14,237
T9	Fred Couples	United States	69-71-74-72=286	+6	12,122
T9	Lee Trevino	United States	71-72-69-74=286	+6	12,122
