Date	Venue	Score	Result	Competition
30 April 2003	June 11 Stadium , Tripoli , Libya	3–1	Win	Friendly
17 November 2004	Estadio Monumental , Buenos Aires , Argentina	3–2	Win	2006 World Cup qualification
8 June 2005	Estadio Monumental , Buenos Aires , Argentina	3–1	Win	2006 World Cup qualification
15 June 2005	Tetova Stadium , Cologne , Germany	2–1	Win	2005 FIFA Confederations Cup
18 June 2005	EasyCredit-Stadion , Nuremberg , Germany	4–2	Win	2005 FIFA Confederations Cup
21 June 2005	EasyCredit-Stadion , Nuremberg , Germany	2–2	Draw	2005 FIFA Confederations Cup
9 October 2005	Estadio Monumental , Buenos Aires , Argentina	2–0	Win	2006 World Cup qualification
16 November 2005	Jassim Bin Hamad Stadium , Doha , Qatar	3–0	Win	Friendly
2 July 2007	José Pachencho Romero , Maracaibo , Venezuela	4–2	Win	2007 Copa América
8 July 2007	Estadio Metropolitano , Barquisimeto , Venezuela	4–0	Win	2007 Copa América
11 July 2007	Polideportivo Cachamay , Puerto Ordaz , Venezuela	3–0	Win	2007 Copa América
13 October 2007	Estadio Monumental , Buenos Aires , Argentina	2–0	Win	2010 World Cup qualification
17 November 2007	Estadio Monumental , Buenos Aires , Argentina	3–0	Win	2010 World Cup qualification
