Townland	Area( acres )	Barony	Civil parish	Poor law union
Aghagooheen	268	West Carbery (W.D.)	Kilmocomoge	Bantry
Aghaville	515	West Carbery (W.D.)	Caheragh	Skibbereen
Altar	295	West Carbery (W.D.)	Kilmoe	Skull
Ardahill	183	West Carbery (W.D.)	Kilcrohane	Bantry
Ardanenig	137	West Carbery (W.D.)	Kilcrohane	Bantry
Arderrawinny	702	West Carbery (W.D.)	Skull	Skull
Ardintenant	117	West Carbery (W.D.)	Skull	Skull
Ardmanagh	757	West Carbery (W.D.)	Skull	Skull
Ardrah	451	West Carbery (W.D.)	Kilmocomoge	Bantry
Ardura Beg	233	West Carbery (W.D.)	Kilcoe	Skull
Ardura More	311	West Carbery (W.D.)	Kilcoe	Skull
Arduslough	55	West Carbery (W.D.)	Kilmoe	Skull
Aughaleigue Beg	275	West Carbery (W.D.)	Kilcrohane	Bantry
Aughaleigue More	285	West Carbery (W.D.)	Kilcrohane	Bantry
Ballaghadown North	235	West Carbery (W.D.)	Caheragh	Skibbereen
Ballaghadown South	221	West Carbery (W.D.)	Caheragh	Skibbereen
Ballybane East	847	West Carbery (W.D.)	Skull	Skull
Ballybane West	610	West Carbery (W.D.)	Skull	Skull
Ballybrack	121	West Carbery (W.D.)	Skull	Skull
Ballycommane	1349	West Carbery (W.D.)	Durrus	Bantry
Ballycummisk	191	West Carbery (W.D.)	Skull	Skull
Ballydehob	188	West Carbery (W.D.)	Skull	Skull
Ballydivlin	649	West Carbery (W.D.)	Kilmoe	Skull
Ballyieragh	578	West Carbery (W.D.)	Kilcrohane	Bantry
Ballynatra	39	West Carbery (W.D.)	Kilcrohane	Bantry
Ballynaule	91	West Carbery (W.D.)	Kilmoe	Skull
Ballyourane	535	West Carbery (W.D.)	Caheragh	Skibbereen
Ballyrisode	591	West Carbery (W.D.)	Kilmoe	Skull
Ballyroon	115	West Carbery (W.D.)	Kilcrohane	Bantry
Ballyroon Mountain	466	West Carbery (W.D.)	Kilcrohane	Bantry
Ballyvoge Beg	100	West Carbery (W.D.)	Kilmoe	Skull
Ballyvoge More	240	West Carbery (W.D.)	Kilmoe	Skull
Ballyvonane	235	West Carbery (W.D.)	Skull	Skull
Balteen	101	West Carbery (W.D.)	Skull	Skull
Balteen	605	West Carbery (W.D.)	Kilmoe	Skull
Barna	302	West Carbery (W.D.)	Caheragh	Skibbereen
Barnatonicane	261	West Carbery (W.D.)	Skull	Skull
Barryroe	685	West Carbery (W.D.)	Skull	Skull
Bauravilla	579	West Carbery (W.D.)	Caheragh	Skibbereen
Baurgorm	613	West Carbery (W.D.)	Kilmocomoge	Bantry
Bawnaknockane	297	West Carbery (W.D.)	Skull	Skull
Bawnboy	257	West Carbery (W.D.)	Caheragh	Skibbereen
Bawnishal	365	West Carbery (W.D.)	Caheragh	Skibbereen
Bawnshanaclogh	194	West Carbery (W.D.)	Skull	Skull
Beakeen	99	West Carbery (W.D.)	Skull	Skull
Bird Island	2	West Carbery (W.D.)	Kilmoe	Skull
Boleagh	252	West Carbery (W.D.)	Kilcoe	Skull
Boulysallagh	252	West Carbery (W.D.)	Kilmoe	Skull
Brahalish	782	West Carbery (W.D.)	Durrus	Bantry
Bunalunn	435	West Carbery (W.D.)	Caheragh	Skibbereen
Caher	253	West Carbery (W.D.)	Kilcrohane	Bantry
Caher	465	West Carbery (W.D.)	Kilmoe	Skull
Caheragh	664	West Carbery (W.D.)	Caheragh	Skibbereen
Caheravirane	137	West Carbery (W.D.)	Skull	Skull
Cahergal	121	West Carbery (W.D.)	Kilcrohane	Bantry
Caherlusky	153	West Carbery (W.D.)	Skull	Skull
Caher-mountain	221	West Carbery (W.D.)	Kilcrohane	Bantry
Caherogullane	292	West Carbery (W.D.)	Kilmocomoge	Bantry
Caherolickane	240	West Carbery (W.D.)	Skull	Skull
Caherurlagh	30	West Carbery (W.D.)	Kilcrohane	Bantry
Caherurlagh Mountain North	27	West Carbery (W.D.)	Kilcrohane	Bantry
Caherurlagh Mountain South	23	West Carbery (W.D.)	Kilcrohane	Bantry
Calf Island West	62	West Carbery (W.D.)	Skull	Skull
Callaros Eighter	169	West Carbery (W.D.)	Kilmoe	Skull
Callaros Oughter	500	West Carbery (W.D.)	Kilmoe	Skull
Cannawee	113	West Carbery (W.D.)	Kilmoe	Skull
Cappagh Beg	474	West Carbery (W.D.)	Skull	Skull
Cappagh More	382	West Carbery (W.D.)	Skull	Skull
Cappaghglass	426	West Carbery (W.D.)	Skull	Skull
Cappaghnacallee	228	West Carbery (W.D.)	Skull	Skull
Carbery Island	26	West Carbery (W.D.)	Skull	Skull
