Season	Winner	Result	Runner-up	Final venue
2002-03	Elm Tree	1 - 0	Stocksbridge Park Steels Reserves	Belle Vue
2003-04	HSBC	3 - 2	Athersley Recreation	Belle Vue
2004-05	Kiveton Park	2 - 2	Athersley Recreation	Sandy Lane
2005-06	Kiveton Park	5 - 0	Sheffield Lane Top	Belle Vue
2006-07	Stocksbridge Park Steels Reserves	3 - 1	Hemsworth Miners Welfare	Millmoor
2007-08	Athersley Recreation	1 - 0	Hollinsend Amateurs	Oakwell
2008-09	Hall Green United	2 - 1	Kirkburton	Keepmoat Stadium (Pitch 2)
2009-10	Sheffield reserves	2 - 1	Dearne Colliery Miners Welfare	Inkersall Road
2010-11	Stocksbridge Park Steels Reserves	3 - 0	Kirkburton	Green Lane
2012-13	Swinton Athletic	3 - 0	Kirkburton	Sandy Lane
