Actor	Character	Soap Opera	Years	Duration
Ray Meagher	Alf Stewart	Home and Away	1988—	26 years
Tom Oliver	Lou Carpenter	Neighbours	1988, 1992—	22 years
Lynne McGranger	Irene Roberts	Home and Away	1993—	21 years
Kate Ritchie	Sally Fletcher	Home and Away	1988–2008, 2013	20 years
Alan Fletcher	Karl Kennedy	Neighbours	1994—	20 years
Jackie Woodburne	Susan Kennedy	Neighbours	1994—	20 years
Ryan Moloney	Toadfish Rebecchi	Neighbours	1995, 1996—	18 years
Ian Smith	Harold Bishop	Neighbours	1987–1991, 1996–2009, 2011	17 years
Stefan Dennis	Paul Robinson	Neighbours	1985–1992, 1993, 2004—	17 years
Norman Coburn	Donald Fisher	Home and Away	1988–2003, 2004, 2005, 2007	15 years
Lyn Collingwood	Colleen Smart	Home and Away	1988–1989, 1997, 1999–2013	15 years
Kym Valentine	Libby Kennedy	Neighbours	1994–2004, 2005, 2007–2008, 2009–2011	14 years
Ada Nicodemou	Leah Patterson-Baker	Home and Away	2000—	14 years
John Wood	Tom Croydon	Blue Heelers	1993–2006	13 years
Julie Nihill	Chris Riley	Blue Heelers	1993–2006	13 years
Martin Sacks	PJ Hasham	Blue Heelers	1993–2006	13 years
Judy Nunn	Ailsa Stewart	Home and Away	1988–2000, 2002, 2003	12 years
Anne Haddy	Helen Daniels	Neighbours	1985–1997	12 years
Brian Wenzel	Frank Gilroy	A Country Practice	1981–1993	12 years
Shane Porteous	Terence Elliott	A Country Practice	1981–1993	12 years
Joyce Jacobs	Esme Watson	A Country Practice	1981–1993	12 years
Carla Bonner	Stephanie Scully	Neighbours	1999–2010, 2013	11 years
Anne Charleston	Madge Bishop	Neighbours	1986–1992, 1996–2001	11 years
Lorrae Desmond	Shirley Dean-Gilroy	A Country Practice	1981–1992	11 years
Gordon Piper	Bob Hatfield	A Country Practice	1981–1992	11 years
Judith McGrath	Von Ryan	All Saints	1998–2009	11 years
Emily Symons	Marilyn Chambers	Home and Away	1989–1992, 1995–1999, 2001, 2010—	11 years
Ryan Clark	Sam Marshall	Home and Away	1991–2001, 2002, 2005	10 years
Janet Andrewartha	Lyn Scully	Neighbours	1999-2006, 2008, 2009-2011	-9 years
