Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 3	Charlotte	L 83–85 (OT)	Devin Harris (19)	Derrick Favors (8)	Devin Harris (8)	Prudential Center 11,778	2–2
5	November 5	@ Orlando	L 90–105 (OT)	Travis Outlaw (17)	Travis Outlaw (6)	Jordan Farmar (7)	Amway Center 18.846	2–3
6	November 6	@ Miami	L 89–101 (OT)	Anthony Morrow (25)	Anthony Morrow , Terrence Williams (7)	Terrence Williams (9)	American Airlines Arena 19,600	2–4
7	November 9	Cleveland	L 91–93 (OT)	Travis Outlaw (27)	Troy Murphy (11)	Devin Harris (6)	Prudential Center 10,188	2–5
8	November 10	@ Cleveland	W 95–87 (OT)	Devin Harris (31)	Kris Humphries (18)	Devin Harris (9)	Quicken Loans Arena 20,562	3–5
9	November 13	Orlando	L 90–91 (OT)	Devin Harris (26)	Travis Outlaw , Kris Humphries (7)	Devin Harris (8)	Prudential Center 15,086	3–6
10	November 15	@ L.A. Clippers	W 110–96 (OT)	Brook Lopez (24)	Kris Humphries (12)	Jordan Farmar (12)	Staples Center 14,516	4–6
11	November 17	@ Utah	L 88–98 (OT)	Anthony Morrow (24)	Kris Humphries (15)	Devin Harris (8)	EnergySolutions Arena 19,314	4–7
12	November 19	@ Sacramento	L 81–86 (OT)	Kris Humphries (18)	Kris Humphries , Brook Lopez (10)	Devin Harris (8)	ARCO Arena 11,766	4–8
13	November 20	@ Denver	L 103–107 (OT)	Brook Lopez (20)	Derrick Favors , Kris Humphries , Brook Lopez (8)	Jordan Farmar (5)	Pepsi Center 16,396	4–9
14	November 23	Atlanta	W 107–101 (OT)	Brook Lopez (32)	Kris Humphries (14)	Devin Harris (9)	Prudential Center 13,010	5–9
15	November 24	@ Boston	L 83–89 (OT)	Devin Harris (20)	Kris Humphries (11)	Jordan Farmar (7)	TD Garden 18,624	5–10
16	November 27	@ Philadelphia	L 86–102 (OT)	Brook Lopez (25)	Kris Humphries (15)	Devin Harris (6)	Wells Fargo Center 14,150	5–11
17	November 28	Portland	W 98–96 (OT)	Devin Harris (25)	Kris Humphries (8)	Devin Harris (8)	Prudential Center 11,448	6–11
