Place	Downhill	Competitor	1st run	2nd run	Points
1	2	Franz Pfnür ( GER )	72.1	74.5	100.00
2	3	Gustav Lantschner ( GER )	76.9	75.6	96.13
3	4	Émile Allais ( FRA )	80.4	76.9	93.20
4	8	Rudolf Cranz ( GER )	92.9(2)	74.6	87.52
5	6	Roman Wörndle ( GER )	82.9	85.8(1)	86.90
6	1	Birger Ruud ( NOR )	91.9(1)	77.1	86.75
7	9	Giacinto Sertorelli ( ITA )	79.3	90.1	86.54
8	11	Dick Durrance ( USA )	86.4(1)	86.9	84.59
9	5	Alf Konningen ( NOR )	89.3	84.3	84.45
10	14	Maurice Lafforgue ( FRA )	86.6	87.1	84.40
11	24	James Palmer-Tomkinson ( GBR )	89.8	86.5	83.15
12	32	László Szalay ( HUN )	87.6	89.9	82.59
13	15	Peter Lunn ( GBR )	86.3	92.5	81.99
14	18	George Page ( USA )	85.7	93.4	81.86
15	7	Per Fossum ( NOR )	90.3	89.7	81.44
16	19	Walter Hollmann ( TCH )	88.1	97.8	78.86
17	16	Ciril Praček ( YUG )	94.4	92.6	78.40
18	40	Christopher Hudson ( GBR )	89.9	102.4	76.24
19	20	Bronisław Czech ( POL )	90.4	102.9	75.84
20	29	Robert Livermore ( USA )	97.5	96.7	75.49
21	25	Johann Knahl ( TCH )	93.7	101.1	75.26
22	31	Franci Čop ( YUG )	98.5	97.4	74.83
23	34	Karol Zając ( POL )	95.0	102.5	74.23
24	28	Horst Scheeser ( ROU )	101.6	96.5	74.00
25	13	Adriano Guarnieri ( ITA )	88.5(1)	110.1(1)	73.82
26	22	Roland Allard ( FRA )	104.8	94.8	73.45
27	12	Vittorio Chierroni ( ITA )	93.4	110.8(2)	71.79
28	27	Károly Kővári ( HUN )	104.8	103.6	70.35
29	23	Wilhelm Pick ( TCH )	113.3(1)	101.1	68.38
30	35	Bertil Persson ( SWE )	103.4(1)	114.0(1)	67.43
31	50	Emil Žnidar ( YUG )	110.7	118.1	64.07
32	21	Imre Csík ( HUN )	108.5	128.2	61.93
33	36	Fedor Weinschenck ( POL )	116.6(1)	141.2	56.87
–	33	Wilhelm Zacharias ( ROU )	100.2	–	–
–	49	Hiroshi Tadano ( JPN )	109.4	–	–
–	41	Isamo Sekiguchi ( JPN )	112.5	–	–
–	45	Rudolf Klöckner ( ROU )	112.7	–	–
–	26	Karl Baadsvik ( CAN )	114.3	–	–
–	37	Albert Washburn ( USA )	116.7(1)	–	–
–	47	William Clark ( CAN )	123.9(1)	–	–
–	46	Tsutomu Sekido ( JPN )	124.5	–	–
–	30	Borislav Jordanov ( BUL )	126.1(1)	–	–
–	39	William Ball ( CAN )	127.7	–	–
–	48	Iosif Covaci ( ROU )	128.3	–	–
–	53	Asen Zankov ( BUL )	133.5	–	–
–	43	Dimitris Negropontis ( GRE )	135.3	–	–
–	51	Hubert Negerle ( LIE )	136.1	–	–
–	42	Raymond De Braconnier ( BEL )	142.2	–	–
–	52	Jacques Peten ( BEL )	144.9(1)	–	–
–	44	Werner De Spoelberch ( BEL )	148.6	–	–
–	54	Franz Schädler ( LIE )	152.5	–	–
–	17	Eduard Hromádka ( TCH )	165.9(3)	–	–
–	55	Herbert Bērtulsons ( LAT )	186.1	–	–
–	56	Askolds Hermanovskis ( LAT )	198.0(2)	–	–
–	57	Nazım Aslangil ( TUR )	DQ	–	–
–	58	Ülker Pamir ( TUR )	DQ	–	–
–	10	Sigmund Ruud ( NOR )	DNS	–	–
–	38	Levente Balatoni ( HUN )	DNS	–	–
–	59	Mahmut Şevket ( TUR )	DNS	–	–
–	60	Reşat Erceş ( TUR )	DNS	–	–
