Province	Number of Dairy Farms	Number of Dairy Cows	Production (hectolitres)	Dairy Cows per Farm	Production (hectolitres) per Farm
British Columbia	512	70500	6766330	138	13215
Alberta	592	90000	6603623	152	11155
Saskatchewan	182	30000	2304452	165	12662
Manitoba	344	44500	3213844	129	9343
Ontario	4137	322000	25385472	78	6136
Quebec	6281	366000	28958369	58	4610
New Brunswick	219	18700	1335831	85	6100
Nova Scotia	245	22500	1700045	92	6939
Prince Edward Island	200	13000	1005675	65	5028
Newfoundland & Labrador	34	5900	476783	174	14023
