Year	Venue	City	State	Host
1971	Hollywood Palladium	Los Angeles	California	Andy Williams
1972	Felt Forum	New York City	New York	Andy Williams
1973	Tennessee Theatre	Nashville	Tennessee	Andy Williams
1974	Hollywood Palladium	Los Angeles	California	Andy Williams
1975	Uris Theater	New York City	New York	Andy Williams
1976	Hollywood Palladium	Los Angeles	California	Andy Williams
1977	Hollywood Palladium	Los Angeles	California	Andy Williams
1978	Shrine Auditorium	Los Angeles	California	John Denver
1979	Shrine Auditorium	Los Angeles	California	John Denver
1980	Shrine Auditorium	Los Angeles	California	Kenny Rogers
1981	Radio City Music Hall	New York City	New York	Paul Simon
1982	Shrine Auditorium	Los Angeles	California	John Denver
1983	Shrine Auditorium	Los Angeles	California	John Denver
1984	Shrine Auditorium	Los Angeles	California	John Denver
1985	Shrine Auditorium	Los Angeles	California	John Denver
1986	Shrine Auditorium	Los Angeles	California	Kenny Rogers
1987	Shrine Auditorium	Los Angeles	California	Billy Crystal
1988	Radio City Music Hall	New York City	New York	Billy Crystal
1989	Shrine Auditorium	Los Angeles	California	Billy Crystal
1990	Shrine Auditorium	Los Angeles	California	Garry Shandling
1991	Radio City Music Hall	New York City	New York	Garry Shandling
1992	Shrine Auditorium	Los Angeles	California	Whoopie Goldberg
1993	Shrine Auditorium	Los Angeles	California	Garry Shandling
1994	Radio City Music Hall	New York City	New York	Garry Shandling
1995	Shrine Auditorium	Los Angeles	California	Paul Reiser
1996	Shrine Auditorium	Los Angeles	California	Ellen DeGeneres
1997	Madison Square Garden	New York City	New York	Ellen DeGeneres
1998	Radio City Music Hall	New York City	New York	Kelsey Grammer
1999	Shrine Auditorium	Los Angeles	California	Rosie O'Donnell
2000	Staples Center	Los Angeles	California	Rosie O'Donnell
2001	Staples Center	Los Angeles	California	Jon Stewart
2002	Staples Center	Los Angeles	California	Jon Stewart
2003	Madison Square Garden	New York City	New York	None
2004	Staples Center	Los Angeles	California	None
2005	Staples Center	Los Angeles	California	Queen Latifah
2006	Staples Center	Los Angeles	California	None
2007	Staples Center	Los Angeles	California	None
2008	Staples Center	Los Angeles	California	None
2009	Staples Center	Los Angeles	California	None
2010	Staples Center	Los Angeles	California	None
2011	Staples Center	Los Angeles	California	None
2012	Staples Center	Los Angeles	California	LL Cool J
2013	Staples Center	Los Angeles	California	LL Cool J
2014	Staples Center	Los Angeles	California	TBD
