Tie no	Home team	Score	Away team	Date
1	Liverpool	2–2	Brighton & Hove Albion	26/01/1991
Replay	Brighton & Hove Albion	2–3	Liverpool	30/01/1991
2	Notts County	2–0	Oldham Athletic	26/01/1991
3	Crewe Alexandra	1–0	Rotherham United	26/01/1991
4	Luton Town	1–1	West Ham United	26/01/1991
Replay	West Ham United	5–0	Luton Town	30/01/1991
5	Woking	0–1	Everton	27/01/1991
6	Shrewsbury Town	1–0	Wimbledon	26/01/1991
7	Newcastle United	2–2	Nottingham Forest	13/02/1991
Replay	Nottingham Forest	3–0	Newcastle United	18/02/1991
8	Tottenham Hotspur	4–2	Oxford United	26/01/1991
9	Coventry City	1–1	Southampton	26/01/1991
Replay	Southampton	2–0	Coventry City	29/01/1991
10	Portsmouth	5–1	Bournemouth	26/01/1991
11	Manchester United	1–0	Bolton Wanderers	26/01/1991
12	Norwich City	3–1	Swindon Town	26/01/1991
13	Millwall	4–4	Sheffield Wednesday	26/01/1991
Replay	Sheffield Wednesday	2–0	Millwall	30/01/1991
14	Port Vale	1–2	Manchester City	26/01/1991
15	Arsenal	0–0	Leeds United	27/01/1991
Replay	Leeds United	1–1	Arsenal	30/01/1991
Replay	Arsenal	0–0	Leeds United	13/02/1991
Replay	Leeds United	1–2	Arsenal	16/02/1991
16	Cambridge United	2–0	Middlesbrough	26/01/1991
