Res.	Record	Opponent	Method	Round	Time	Location
Draw	21-8-1	Masakatsu Funaki	Draw (majority)	1	15:00	Tokyo , Japan
Win	21-8	Zaza Tkeshelashvili	Submission (armlock)	1	N/A	Vilnius , Lithuania
Win	20-8	Andrei Kopylov	Decision (unanimous)	2	5:00	Ekaterinburg , Russia
Loss	19-8	Antônio Rodrigo Nogueira	Decision (unanimous)	2	5:00	Tokyo , Japan
Win	19-7	Bobby Hoffman	Decision (unanimous)	3	5:00	Osaka , Japan
Win	18-7	Lee Hasdell	TKO (punches)	2	0:08	Osaka , Japan
Win	17-7	Zaza Tkeshelashvili	Submission (guillotine choke)	1	15:46	Tula , Russia
Win	16-7	Branden Lee Hinkle	Submission (arm-triangle choke)	1	8:11	Tokyo , Japan
Win	15-7	Cvetko Cvetkov	Submission (achilles lock)	1	N/A	Tula , Russia
Win	14-7	Yasuhito Namekawa	Decision (unanimous)	3	5:00	Yekaterinburg , Russia
Loss	13-7	Zaza Tkeshelashvili	KO	1	7:08	Georgia (country)
Loss	13-6	Zaza Tkeshelashvili	Decision (unanimous)	3	10:00	Japan
Win	13-5	Masayuki Naruse	Submission (armbar)	1	4:26	Japan
Win	12-5	Nikolai Zuyev	Submission (arm-triangle choke)	1	4:49	Japan
Loss	11-5	Tsuyoshi Kohsaka	Submission (injury)	1	10:10	Tokyo , Japan
Loss	11-4	Akira Maeda	Submission (verbal)	1	4:24	N/A
Loss	11-3	Mikhail Ilyukhin	N/A	N/A	N/A	N/A
Win	11-2	Dick Vrij	N/A	N/A	N/A	N/A
Win	10-2	Andrei Kopylov	Submission (armlock)	1	10:52	Japan
Loss	9-2	Kiyoshi Tamura	Submission (armbar)	1	12:48	Japan
Win	9-1	Akira Maeda	Submission (kneebar)	1	8:47	Japan
Win	8-1	Kiyoshi Tamura	N/A	N/A	N/A	Tokyo , Japan
Win	7-1	Kiyoshi Tamura	N/A	N/A	N/A	N/A
Win	6-1	Tariel Bitsadze	N/A	N/A	N/A	N/A
Win	5-1	Tsuyoshi Kohsaka	N/A	N/A	N/A	N/A
Win	4-1	Masayuki Naruse	N/A	N/A	N/A	N/A
Win	3-1	Tsuyoshi Kohsaka	Submission (armbar)	1	13:52	Japan
Loss	2-1	Hans Nijman	TKO	N/A	N/A	Tokyo , Japan
Win	2-0	Peter Ura	N/A	N/A	N/A	N/A
Win	1-0	Akira Maeda	Submission	N/A	N/A	Tokyo , Japan
