Nº	Cabinet (Nickname)	Took office	Left office	Duration	Coalition parties	ministers	ministries	President
14	Ólafur Thors II (The Innovation Administration)	21 October 1944	4 February 1947	2 years, 3 months, 14 days (836 days)	IP — SP — SDP	N/A	0	Sveinn Björnsson
15	Stefán Jóhann Stefánsson	4 February 1947	6 December 1949	2 years, 10 months, 2 days (1,036 days)	SDP — IP — PP	N/A	0	Sveinn Björnsson
16	Ólafur Thors III	6 December 1949	14 March 1950	3 months, 8 days (98 days)	IP	N/A	0	Sveinn Björnsson
17	Steingrímur Steinþórsson	14 March 1950	11 September 1953	3 years, 5 months, 28 days (1,277 days)	PP — IP	N/A	0	Sveinn Björnsson Ásgeir Ásgeirsson
18	Ólafur Thors IV	11 September 1953	24 July 1956	3 years, 13 days (1,109 days)	IP — PP	N/A	0	Ásgeir Ásgeirsson
19	Hermann Jónasson V	24 July 1956	23 December 1958	2 years, 4 months, 29 days (882 days)	PP — PA — SDP	N/A	0	Ásgeir Ásgeirsson Kristján Eldjárn
20	Emil Jónsson	23 December 1958	20 November 1959	10 months, 28 days (332 days)	SDP	N/A	0	Kristján Eldjárn
21	Ólafur Thors V (The Reconstruction Administration)	20 November 1959	14 November 1963	3 years, 11 months, 25 days (1,455 days)	IP — SDP	N/A	0	Kristján Eldjárn
22	Bjarni Benediktsson	14 November 1963	10 July 1970	6 years, 7 months, 26 days (2,430 days)	IP — SDP	N/A	13	Kristján Eldjárn
23	Jóhann Hafstein	10 July 1970	14 July 1971	1 year, 4 days (369 days)	IP — SDP	6–7	13	Kristján Eldjárn
24	Ólafur Jóhannesson I	14 July 1971	28 August 1974	3 years, 1 month, 14 days (1,141 days)	PP — PA — ULL	6–7	13	Kristján Eldjárn
25	Geir Hallgrímsson	28 August 1974	1 September 1978	4 years, 4 days (1,465 days)	IP — PP	8	13	Kristján Eldjárn
26	Ólafur Jóhannesson II	1 September 1978	15 October 1979	1 year, 1 month, 14 days (409 days)	PP — PA — SDP	9	13	Kristján Eldjárn
27	Benedikt Sigurðsson Gröndal	15 October 1979	8 February 1980	3 months, 24 days (116 days)	SDP	6	13	Kristján Eldjárn
28	Gunnar Thoroddsen	8 February 1980	26 May 1983	3 years, 3 months, 18 days (1,203 days)	IP — PP — PA	10	13	Kristján Eldjárn Vigdís Finnbogadóttir
29	Steingrímur Hermannsson I	26 May 1983	8 July 1987	4 years, 1 month, 12 days (1,504 days)	PP — IP	9–10	13	Vigdís Finnbogadóttir
30	Þorsteinn Pálsson	8 July 1987	28 September 1988	1 year, 2 months, 20 days (448 days)	IP — PP — SDP	11	13	Vigdís Finnbogadóttir
31	Steingrímur Hermannsson II	28 September 1988	10 September 1989	11 months, 13 days (347 days)	PP — SDP — PA	9	13	Vigdís Finnbogadóttir
32	Steingrímur Hermannsson III	10 September 1989	30 April 1991	1 year, 7 months, 20 days (597 days)	PP — SDP — PA — CP	11	13–14	Vigdís Finnbogadóttir
33	Davíð Oddsson I	30 April 1991	23 April 1995	3 years, 11 months, 24 days (1,454 days)	IP — SDP	9–10	14	Vigdís Finnbogadóttir
34	Davíð Oddsson II	23 April 1995	28 May 1999	4 years, 1 month, 5 days (1,496 days)	IP — PP	8–10	14	Vigdís Finnbogadóttir Ólafur Ragnar Grímsson
35	Davíð Oddsson III	28 May 1999	23 May 2003	3 years, 11 months, 25 days (1,456 days)	IP — PP	12	14	Ólafur Ragnar Grímsson
36	Davíð Oddsson IV	23 May 2003	15 September 2004	1 year, 3 months, 23 days (481 days)	IP — PP	12	14	Ólafur Ragnar Grímsson
37	Halldór Ásgrímsson	15 September 2004	15 June 2006	1 year, 9 months (638 days)	PP — IP	12	14	Ólafur Ragnar Grímsson
38	Geir Haarde I	15 June 2006	24 May 2007	11 months, 9 days (343 days)	IP — PP	12	14	Ólafur Ragnar Grímsson
39	Geir Haarde II	24 May 2007	1 February 2009	1 year, 8 months, 8 days (619 days)	IP — SDA	12	12–14	Ólafur Ragnar Grímsson
40	Jóhanna Sigurðardóttir I	1 February 2009	10 May 2009	3 months, 9 days (98 days)	SDA — LGM — independents	10	12	Ólafur Ragnar Grímsson
41	Jóhanna Sigurðardóttir II	10 May 2009	23 May 2013	4 years, 13 days (1474 days)	SDA — LGM — independents	8–12	8–12	Ólafur Ragnar Grímsson
