Spoofed Title	Writer	Artist	Issue	Date
777 Sunset Strip	Larry Siegel	Mort Drucker	52	January 1960
The Rifle, Man!	Nick Meglin	Mort Drucker	53	March 1960
The Arthur Money Party	Larry Siegel	Mort Drucker	55	June 1960
Highway Squad	Larry Siegel	Mort Drucker	58	October 1960
Lizzie	Larry Siegel	Mort Drucker	59	December 1960
Naked Town	Larry Siegel	Mort Drucker	60	January 1961
Sneaky Camera with Allan Funn	Larry Siegel	Jack Rickard	64	July 1961
Route 67	Larry Siegel	Mort Drucker	70	April 1962
Bananaz	Lou Silverstone	Mort Drucker	73	September 1962
Dr. Kiljoy	Lou Silverstone	Mort Drucker	74	October 1962
The Defensers	Lou Silverstone	Mort Drucker	77	March 1963
The Tenth Hour	Lou Silverstone	Mort Drucker	80	July 1963
The Nurtzes	Stan Hart	Mort Drucker	82	October 1963
Buck's Law	Frank Jacobs Stan Hart Larry Siegel	Mort Drucker	88	July 1964
The Phewgitive	Stan Hart	Mort Drucker	89	September 1964
Mr. Nudnik	Arnie Kogen	Mort Drucker	91	December 1964
Passion Place	Stan Hart	Mort Drucker	95	June 1965
The Man From A.U.N.T.I.E.	Arnie Kogen	Mort Drucker	96	July 1965
The Rooks	Stan Hart	Mort Drucker	97	September 1965
Flapper	Dick DeBartolo	Mort Drucker	98	October 1965
Football "In Depth"	Ronald Axe Sol Weinstein	George Woodbridge	99	December 1965
The Virginiaham	Lou Silverstone	Mort Drucker	99	December 1965
The Nilson Family	Stan Hart	Mort Drucker	100	January 1966
Shirley Finster's New York	Ronald Axe Sol Weinstein	George Woodbridge	100	January 1966
Voyage to See What's on the Bottom	Dick DeBartolo	Mort Drucker	101	March 1966
BrandXed	Lou Silverstone	Mort Drucker	102	April 1966
Wild World of Sports	Al Jaffee	George Woodbridge	102	April 1966
Honey Waste	Tom Koch	Mort Drucker	103	June 1966
Loused Up in Space	Dick DeBartolo	Mort Drucker	104	July 1966
Bats-man	Lou Silverstone	Mort Drucker	105	September 1966
Hullabadig Au Go Go	Dick DeBartolo	Jack Davis	105	September 1966
12 O'Crocked High	Dick DeBartolo	Mort Drucker	106	October 1966
The Miss American Beauty Pageant	Dick DeBartolo	Mort Drucker	107	December 1966
Hokum's Heroes	Larry Siegel	Jack Davis	108	January 1967
Doc Tari	Dick DeBartolo	Jack Davis	109	March 1967
The Life of Your Run	Dick DeBartolo	Mort Drucker	110	April 1967
Why Spy?	Stan Hart	Mort Drucker	111	June 1967
TVarzan	Dick DeBartolo	Mort Drucker	112	July 1967
The Iron Horselaff	Dick DeBartolo	Mort Drucker	113	September 1967
Ratpacktrol	Lou Silverstone	Mort Drucker	114	October 1967
Star Blecch	Dick DeBartolo	Mort Drucker	115	December 1967
The Joe Nasty Show	Larry Siegel	Jack Davis	116	January 1968
Mission: Ridiculous	Dick DeBartolo	Mort Drucker	118	April 1968
The Invasioners	Lou Silverstone	Jack Davis	119	June 1968
The Flying Nut	Larry Siegel	Mort Drucker	121	September 1968
Genteel Ben	Dick DeBartolo	Don Martin	122	October 1968
It Takes a Crook	Lou Silverstone	Mort Drucker	123	December 1968
Jugg for the Defensive	Lou Silverstone	Mort Drucker	123	December 1968
Mannecch	Lou Silverstone	Mort Drucker	123	December 1968
Familiar Affair	Stan Hart	Mort Drucker	126	April 1969
The Odd Squad	Dick DeBartolo	Mort Drucker	127	June 1969
Jewelia	Stan Hart	Mort Drucker	129	September 1969
Land of the Giant Bores	Dick DeBartolo	Mort Drucker	130	October 1969
Boredom-12	Dick DeBartolo	Mort Drucker	131	December 1969
