Place	Player	Country	Score	To par
1	Hale Irwin	United States	74-68-67=209	–4
2	Tom Weiskopf	United States	71-74-67=212	–1
T3	Jerry Pate	United States	71-74-69=214	+1
T3	Tom Purtzer	United States	70-69-75=214	+1
T5	Lee Elder	United States	74-72-69=215	+2
T5	Larry Nelson	United States	71-68-76=215	+2
T7	Bob Gilder	United States	77-70-69=216	+3
T7	David Graham	Australia	73-73-70=216	+3
T7	Bill Rogers	United States	71-72-73=216	+3
T10	Andy Bean	United States	70-76-71=217	+4
T10	Al Geiberger	United States	74-74-69=217	+4
T10	Bob E. Smith	United States	77-71-69=217	+4
T10	Bobby Walzel	United States	74-72-71=217	+4
