Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
91005	M	Lac-Bouchette	919.99	1,297	Le Domaine-du-Roy	02
91010	VL	Saint-André-du-Lac-Saint-Jean	157.75	523	Le Domaine-du-Roy	02
91015	M	Saint-François-de-Sales	200.56	702	Le Domaine-du-Roy	02
91020	M	Chambord	157.03	1,722	Le Domaine-du-Roy	02
91025	V	Roberval	168.27	10,744	Le Domaine-du-Roy	02
91030	M	Sainte-Hedwidge	469.07	787	Le Domaine-du-Roy	02
91035	M	Saint-Prime	147.43	2,743	Le Domaine-du-Roy	02
91042	V	Saint-Félicien	359.69	10,486	Le Domaine-du-Roy	02
91050	P	La Doré	280.83	1,486	Le Domaine-du-Roy	02
92005	P	Saint-Augustin	103.96	413	Maria-Chapdelaine	02
92010	M	Péribonka	113.46	538	Maria-Chapdelaine	02
92015	VL	Sainte-Jeanne-d'Arc	270.88	1,103	Maria-Chapdelaine	02
92022	V	Dolbeau-Mistassini	296.57	14,713	Maria-Chapdelaine	02
92030	M	Albanel	195.69	2,402	Maria-Chapdelaine	02
92040	V	Normandin	211.96	3,363	Maria-Chapdelaine	02
92045	M	Saint-Thomas-Didyme	325.36	772	Maria-Chapdelaine	02
92050	M	Saint-Edmond-les-Plaines	87.15	476	Maria-Chapdelaine	02
92055	M	Girardville	125.80	1,213	Maria-Chapdelaine	02
92060	M	Notre-Dame-de-Lorette	225.32	203	Maria-Chapdelaine	02
92065	M	Saint-Eugène-d'Argentenay	83.37	573	Maria-Chapdelaine	02
92070	M	Saint-Stanislas	159.45	312	Maria-Chapdelaine	02
93005	V	Desbiens	10.35	1,064	Lac-Saint-Jean-Est	02
93012	V	Métabetchouan–Lac-à-la-Croix	185.86	4,243	Lac-Saint-Jean-Est	02
93020	M	Hébertville	263.88	2,390	Lac-Saint-Jean-Est	02
93025	VL	Hébertville-Station	33.28	1,276	Lac-Saint-Jean-Est	02
93030	M	Saint-Bruno	77.88	2,324	Lac-Saint-Jean-Est	02
93035	M	Saint-Gédéon	64.17	2,011	Lac-Saint-Jean-Est	02
93042	V	Alma	202.10	30,407	Lac-Saint-Jean-Est	02
93045	M	Saint-Nazaire	147.78	1,958	Lac-Saint-Jean-Est	02
93055	M	Labrecque	147.37	1,248	Lac-Saint-Jean-Est	02
93060	M	Lamarche	94.79	527	Lac-Saint-Jean-Est	02
93065	P	L'Ascension-de-Notre-Seigneur	131.83	1,926	Lac-Saint-Jean-Est	02
93070	M	Saint-Henri-de-Taillon	62.95	771	Lac-Saint-Jean-Est	02
93075	M	Sainte-Monique	155.15	898	Lac-Saint-Jean-Est	02
93080	M	Saint-Ludger-de-Milot	106.81	764	Lac-Saint-Jean-Est	02
94068	V	Saguenay	1,166	145,129	Not part of a RCM	02
94205	M	Petit-Saguenay	328.72	828	Le Fjord-du-Saguenay	02
94210	M	L'Anse-Saint-Jean	527.06	1,143	Le Fjord-du-Saguenay	02
94215	M	Rivière-Éternité	496.88	565	Le Fjord-du-Saguenay	02
94220	M	Ferland-et-Boilleau	418.85	606	Le Fjord-du-Saguenay	02
94225	M	Saint-Félix-d'Otis	235.94	851	Le Fjord-du-Saguenay	02
94230	P	Sainte-Rose-du-Nord	119.03	403	Le Fjord-du-Saguenay	02
94235	M	Saint-Fulgence	354.68	1,959	Le Fjord-du-Saguenay	02
94240	M	Saint-Honoré	189.82	4,797	Le Fjord-du-Saguenay	02
94245	M	Saint-David-de-Falardeau	379.23	2,453	Le Fjord-du-Saguenay	02
94250	M	Bégin	191.81	885	Le Fjord-du-Saguenay	02
94255	M	Saint-Ambroise	148.61	3,553	Le Fjord-du-Saguenay	02
94260	M	Saint-Charles-de-Bourget	62.31	664	Le Fjord-du-Saguenay	02
94265	M	Larouche	88.00	1,066	Le Fjord-du-Saguenay	02
