Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 4, 1994	at Chicago Bears	L 21–9	1:00	Soldier Field	61,844	0–1
2	September 11, 1994	Indianapolis Colts	W 24–10	1:00	Tampa Stadium	36,631*	1–1
3	September 18, 1994	New Orleans Saints	L 9–7	1:00	Tampa Stadium	45,522*	1–2
4	September 25, 1994	at Green Bay Packers	L 30–3	1:00	Lambeau Field	58,551	1–3
5	October 2, 1994	Detroit Lions	W 24–14	1:00	Tampa Stadium	38,012*	2–3
6	October 9, 1994	at Atlanta Falcons	L 34–13	1:00	Georgia Dome	52,633	2–4
7	Bye	Bye	Bye	Bye	Bye	Bye	Bye
8	October 23, 1994	at San Francisco 49ers	L 41–16	4:00	Candlestick Park	62,741	2–5
9	October 30, 1994	Minnesota Vikings	L 36–13	4:00	Tampa Stadium	42,110*	2–6
10	November 6, 1994	Chicago Bears	L 20–6	1:00	Tampa Stadium	60,821*	2–7
11	November 13, 1994	at Detroit Lions	L 14–9	8:00	Pontiac Silverdome	50,814	2–8
12	November 20, 1994	at Seattle Seahawks	L 22–21	4:00	The Kingdome	37,466	2–9
13	November 27, 1994	at Minnesota Vikings	W 20–17 OT	1:00	Hubert H. Humphrey Metrodome	47,259	3–9
14	December 4, 1994	Washington Redskins	W 26–21	1:00	Tampa Stadium	45,121*	4–9
15	December 11, 1994	Los Angeles Rams	W 24–14	1:00	Tampa Stadium	34,150*	5–9
16	December 18, 1994	at Washington Redskins	W 17–14	1:00	RFK Stadium	47,315	6–9
17	December 24, 1994	Green Bay Packers	L 34–19	1:00	Tampa Stadium	65,076*	6–10
