CERCLIS ID	Name	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
ARD084930148	Arkwood, Inc.	Boone	09/18/1985	03/31/1989	06/28/1996	–	–
ARD980496186	Cecil Lindsey	Jackson	12/30/1982	09/08/1983	03/16/1989	–	09/22/1989
ARD059636456	Frit Industries	Lawrence	12/30/1982	09/08/1983	–	–	10/14/1997
ARD035662469	Gurley Pit	Crittenden	12/30/1982	09/08/1983	09/13/1994	–	11/06/2003
ARD980496368	Industrial Waste Control	Sebastian	12/30/1982	09/08/1983	06/10/1992	–	04/07/2008
ARD980809941	Jacksonville Municipal Landfill	Lonoke	01/22/1987	07/22/1987	09/25/1995	–	03/14/2000
ARD980745665	Midland Products	Yell	10/15/1984	06/10/1986	12/21/1993	–	–
ARD092916188	Mid-South Wood Products	Polk	12/30/1982	09/08/1983	09/28/1989	–	–
ARD980864110	Monroe Auto Equipment (Paragould Pit)	Greene	10/26/1989	08/30/1990	09/19/2001	–	–
ARD049658628	Mountain Pine Pressure Treating	Yell	04/23/1999	07/22/1999	09/28/2005	–	–
ARD042755231	Ouachita-Nevada Wood Treaters	Ouachita	02/04/2000	05/11/2000	09/21/2006	–	–
ARD008052508	Popile, Inc.	Union	02/07/1992	10/14/1992	09/28/2001	–	–
ARD981055809	Rogers Road Municipal Landfill	Pulaski	01/22/1987	07/22/1987	09/25/1995	–	Pending
ARD980496723	South 8th Street Landfill	Crittenden	02/07/1992	10/14/1992	09/19/2000	–	09/28/2004
ARD000023440	Vertac, Inc.	Pulaski	12/30/1982	09/08/1983	08/31/1998	–	–
