Rank	Rider	Team	Speed	Time
1	Nick Crowe /Mark Cox	LCR Honda 600cc	113.989mph	59’ 34.76
2	Dave Molyneux /Dan Sayle	DMR Suzuki 600cc	113.654mph	59’ 45.31
3	John Holden/Andrew Winkle	LCR Suzuki 600cc	112.585mph	1:00.19.33
4	Steve Norbury/Rick Long	Yamaha 600cc	112.144mph	1:00.33.58
5	Klaus Klaffenböck /Christian Parzer	LCR Honda 600cc	112.177mph	1:00.34.47
6	Tim Reeves /Patrick Farrance	LCR Suzuki 600cc	111.324mph	1:00.59.76
7	Phil Dongworth/Stuart Castles	Ireson Honda 600cc	110.830mph	1:01.16.66
8	Simon Neary/Jamie Winn	Suzuki 600cc	110.071mph	1:01.19.27
9	Nigel Connole/ Dipash Chauhan	LCR Honda 600cc	109.801mph	1:01.51.10
10	Douglas Wright/Stuart Bond	Honda 600cc	109.049mph	1:02.16.71
