Rider	Horse	Time ( s )	Faults	Total time ( s )	Points
Beezie Madden	Authentic	77.62	0	77.62	0.000
Eric Lamaze	Hickstead	78.40	0	78.40	0.390
Gerco Schröder	Eurocommerce Berlin	78.47	0	78.47	0.425
McLain Ward	Sapphire	79.35	0	79.35	0.865
Laurent Goffinet	Flipper d'Elle HN	79.42	0	79.42	0.900
Sergio Alvarez Moya	Le Rève du Nabab	80.09	0	80.09	1.235
Bernardo Alves	Canturo	80.33	0	80.33	1.355
Cassio Rivetti	Olona	80.40	0	80.40	1.390
Marie Burke	Chippison	81.04	0	81.04	1.710
Gregory Wathelet	Loriot	81.14	0	81.14	1.760
Geir Gulliksen	Cattani	81.30	0	81.30	1.840
Samantha McIntosh	Loxley	81.65	0	81.65	2.015
Ludo Philippaerts	Parco	77.71	4	81.71	2.045
Edwina Alexander	Isovlas Pialotta	78.09	4	82.09	2.235
Jean-Claude Van Geenberghe	Osta Rugs Tresor	78.37	4	82.37	2.375
Jürgen Krackow	Looping	78.45	4	82.45	2.415
Albert Zoer	Okidoki	82.58	0	82.58	2.480
Emilio Bicocchi	Jeckerson Kapitol d'Argonne	82.95	0	82.95	2.665
Ludger Beerbaum	L'Espoir	83.01	0	83.01	2.695
Dirk Demeersman	Clinton	79.13	4	83.13	2.755
Royne Zetterman	Isaac	83.77	0	83.77	3.075
Jeroen Dubbeldam	BMC Up and Down	83.82	0	83.82	3.100
Ricardo Jurado	Procasa le Monde	84.16	0	84.16	3.270
Marcus Ehning	Noltes Küchengirl	76.70	8	84.70	3.540
Tina Lund	Carola	80.84	4	84.84	3.610
Carlos Lopez	Instit	84.86	0	84.86	3.620
Niklaus Schurtenberger	Cantus	84.89	0	84.89	3.635
John Whitaker	Peppermill	84.98	0	84.98	3.680
Pablo Barrios	Sun God	81.43	4	85.43	3.905
Meredith Michaels-Beerbaum	Shutterfly	81.46	4	85.46	3.920
Shane Breen	World Cruise	81.59	4	85.59	3.985
Christian Ahlmann	Cöster	81.62	4	85.62	4.000
Piet Raymakers	Van Schijndel's Curtis	85.71	0	85.71	4.045
Michel Robert	Galet d'Auzay	81.78	4	85.78	4.080
Luciana Diniz	Dover	81.94	4	85.94	4.160
Álvaro Alfonso de Miranda Neto	Nike	82.09	4	86.09	4.235
Werner Muff	Plot Blue	83.07	4	87.07	4.725
Max Amaya	Church Road	87.20	0	87.20	4.790
Rolf-Göran Bengtsson	Ninja la Silla	83.44	4	87.44	4.910
Jos Lansink	Cavalor Cumano	83.63	4	87.63	5.005
Jesus Garmendia Echeverria	Maddock	80.29	8	88.29	5.335
Cameron Hanley	Siec Hippica Kerman	84.37	4	88.37	5.375
Hervé Godignon	Obélix	84.42	4	88.42	5.400
Sebastian Numminen	Sails Away	84.53	4	88.53	5.455
Manuel Torres	Chambacunero	80.56	8	88.56	5.470
Michael Whitaker	Insul Tech Portofino	84.67	4	88.67	5.525
Tim Gredley	Omelli	81.00	8	89.00	5.690
Laura Kraut	Miss Independent	85.57	4	89.57	5.975
Jill Henselwood	Special Ed	85.95	4	89.95	6.165
Roland Englbrecht	Nip Armani	86.06	4	90.06	6.220
Antonis Petris	Gredo la Daviere	82.22	8	90.22	6.300
Gerfried Puck	11th Bleeker	82.43	8	90.43	6.405
Mikael Forsten	BMC's Skybreaker	86.49	4	90.49	6.435
Christina Liebherr	L.B. No Mercy	82.66	8	90.66	6.520
Stefan Eder	Cartier PSG	82.69	8	90.69	6.535
Beat Mändli	Indigo IX	83.18	8	91.18	6.780
