Outcome	Tournament	Surface	Opponent	Score
Winner	North Miami Beach, Florida , USA	Hard	Todd Paul	4–6, 7–6 (10–8) , 6–2
Runner-up	Vic , Spain	Clay	Javier Genaro-Martinez	4–6, 5–7
Winner	Minsk , Belarus	Hard	Deniss Pavlovs	6–1, 2–0 ret.
Runner-up	Harlingen, Texas , USA	Hard	Jesse Witten	5–7, 4–6
Winner	Koszalin , Poland	Clay	Marcin Gawron	6–1, 4–6, 6–2
Runner-up	Novi Sad , Serbia	Clay	Dejan Katic	6–3, 3–6, 2–6
Winner	Olsztyn , Poland	Clay	Marcin Gawron	6–1, 6–3
Winner	Istanbul , Turkey	Hard	Denys Molchanov	6–2, 6–2
Winner	Martos , Spain	Hard	Roberto Bautista-Agut	6–1, 3–6, 7–6 (7–3)
Winner	Dunlop World Challenge	Carpet (i)	Tatsuma Ito	7–6 (9–7) , 7–6 (7–3)
Runner-up	Sheffield , UK	Hard (i)	Stefano Galvani	4–6, 6–4, 0–6
Winner	ATP Challenger Guangzhou	Hard	Alexander Kudryavtsev	6–4, 6–4
Runner-up	Namangan , Uzbekistan	Hard	Ivan Sergeyev	6–7 (5–7) , 1–6
Winner	Kassel , Germany	Clay	Jan Minář	6–4, 7–6 (7–3)
Winner	Tashkent , Uzbekistan	Hard	Lukáš Lacko	6–3, 7–6 (7–3)
