Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
35	January 2	Golden State	W 105–89 (OT)	Brandon Roy (37)	Martell Webster (11)	Andre Miller (6)	Rose Garden 20,507	22-13
36	January 4	@ Los Angeles Clippers	L 95–105 (OT)	Martell Webster (25)	Jeff Pendergraph (7)	Andre Miller (16)	Staples Center 15,104	22-14
37	January 5	Memphis	L 105–109 (OT)	Brandon Roy (27)	Andre Miller (10)	Brandon Roy (9)	Rose Garden 20,278	22-15
38	January 8	Lakers	W 107–98 (OT)	Brandon Roy (32)	Juwan Howard (10)	Andre Miller (7)	Rose Garden 20,629	23-15
39	January 10	Cleveland	L 94–106 (OT)	Brandon Roy (34)	LaMarcus Aldridge (13)	Andre Miller (8)	Rose Garden 20,614	23-16
40	January 13	Milwaukee	W 120–108 (OT)	Brandon Roy (22)	LaMarcus Aldridge , Juwan Howard (7)	LaMarcus Aldridge , Andre Miller (6)	Rose Garden 20,465	24-16
41	January 15	Orlando	W 102–87 (OT)	Martell Webster (24)	LaMarcus Aldridge (14)	Andre Miller (9)	Rose Garden 20,650	25-16
42	January 18	@ Washington	L 92–97 (OT)	LaMarcus Aldridge , Andre Miller (22)	LaMarcus Aldridge (15)	Jerryd Bayless (8)	Verizon Center 12,209	25-17
43	January 20	@ Philadelphia	W 98–90 (OT)	Andre Miller (24)	LaMarcus Aldridge (9)	Steve Blake (5)	Wachovia Center 12,607	26-17
44	January 22	@ Boston	L 95–98 (OT)	Andre Miller (28)	Juwan Howard (12)	Andre Miller (8)	TD Garden 18,624	26-18
45	January 23	@ Detroit	W 97–93 (OT)	Martell Webster (28)	LaMarcus Aldridge (8)	Andre Miller (13)	Palace of Auburn Hills 19,114	27-18
46	January 25	New Orleans	L 97–98 (OT)	LaMarcus Aldridge , Juwan Howard (16)	Juwan Howard , Rudy Fernandez (7)	Andre Miller (10)	Rose Garden 20,249	27-19
47	January 27	Utah	L 95–106 (OT)	LaMarcus Aldridge (25)	Juwan Howard (11)	Andre Miller , Jerryd Bayless (4)	Rose Garden 20,384	27-20
48	January 29	@ Houston	L 100–104 (OT)	Rudy Fernandez (25)	Nicolas Batum (9)	Steve Blake (9)	Toyota Center 16,129	27-21
