Player	Position	Date of Birth (Age)	Caps	Club/province
Carl Hayman	Prop	14 November 1979	41	Otago
Greg Somerville	Prop	28 November 1977	55	Canterbury
Neemia Tialata	Prop	15 July 1982	17	Wellington
Tony Woodcock	Prop	27 January 1981	33	North Harbour
Andrew Hore	Hooker	13 September 1978	21	Taranaki
Keven Mealamu	Hooker	20 March 1979	47	Auckland
Anton Oliver	Hooker	9 September 1975	55	Otago
Chris Jack	Lock	5 September 1978	62	Tasman
Keith Robinson	Lock	14 December 1976	10	Waikato
Ali Williams	Lock	30 April 1981	42	Auckland
Jerry Collins ( vc )	Flanker	4 November 1980	44	Wellington
Chris Masoe	Flanker	15 May 1979	15	Wellington
Richie McCaw ( c )	Flanker	31 December 1980	55	Canterbury
Reuben Thorne	Flanker	2 January 1975	48	Canterbury
Sione Lauaki	Number 8	22 June 1981	7	Waikato
Rodney So'oialo	Number 8	3 October 1979	37	Wellington
Andrew Ellis	Scrum-half	21 February 1984	2	Canterbury
Byron Kelleher	Scrum-half	3 December 1976	54	Waikato
Brendon Leonard	Scrum-half	16 April 1985	4	Waikato
Dan Carter	Fly-half	5 March 1982	41	Canterbury
Nick Evans	Fly-half	14 August 1980	12	Otago
Aaron Mauger	Centre	29 November 1980	42	Canterbury
Luke McAlister	Centre	28 August 1983	18	North Harbour
Conrad Smith	Centre	12 October 1981	12	Wellington
Isaia Toeava	Centre	5 January 1986	10	Auckland
Doug Howlett	Wing	21 September 1978	59	Auckland
Joe Rokocoko	Wing	6 June 1983	45	Auckland
Sitiveni Sivivatu	Wing	19 April 1982	17	Waikato
Leon MacDonald	Fullback	21 December 1977	47	Canterbury
Mils Muliaina	Fullback	31 July 1980	52	Waikato
