Year	Venue	Position	Event	Notes
1997	Bridgetown, Barbados	6th	800 m	2:25.66
1997	Bridgetown, Barbados	7th	1500 m	5:13.83
2000	San Juan, Puerto Rico	6th	800 m	2:14.18
2000	San Juan, Puerto Rico	2nd	4x400 m	3:40.24
2003	St. George's, Grenada	1st	800 m	2:04.12
2003	St. George's, Grenada	2nd	4x400 m	3:32.99
2003	Santo Domingo, Dominican Republic	9th (h)	800 m	2:04.22
2005	Nassau, Bahamas	1st	800 m	2:03.56
2005	Helsinki, Finland	23rd (h)	800 m	2:02.50
2006	Melbourne, Australia	8th	800 m	2:01.96
2008	Beijing, China	21st (sf)	800 m	2:01.84
2009	Berlin, Germany	28th (sf)	800 m	2:04.55
2011	Mayagüez, Puerto Rico	4th	800 m	2:03.56
2012	London, United Kingdom	16th (sf)	800 m	2:00.68
