Tie no	Home team	Score	Away team	Date
1	Bournemouth	2–2	Hereford United	13 December 1975
Replay	Hereford United	2–0	Bournemouth	17 December 1975
2	Bury	3–0	Spennymoor United	13 December 1975
3	Marine	1–1	Hartlepool	13 December 1975
Replay	Hartlepool	6–3	Marine	15 December 1975
4	Gillingham	0–1	Brighton & Hove Albion	13 December 1975
5	Sheffield Wednesday	2–0	Wigan Athletic	13 December 1975
6	Stafford Rangers	1–3	Halifax Town	13 December 1975
7	Scarborough	3–2	Preston North End	13 December 1975
8	Shrewsbury Town	3–1	Chester	13 December 1975
9	Millwall	1–1	Crystal Palace	13 December 1975
Replay	Crystal Palace	2–1	Millwall	16 December 1975
10	Wimbledon	0–2	Brentford	13 December 1975
11	Southend United	4–1	Dover	13 December 1975
12	Huddersfield Town	2–1	Port Vale	13 December 1975
13	Mansfield Town	1–2	Lincoln City	13 December 1975
14	Cardiff City	1–0	Wycombe Wanderers	13 December 1975
15	Rotherham United	0–3	Bradford City	13 December 1975
16	Aldershot	2–0	Bishop's Stortford	13 December 1975
17	Hendon	0–1	Swindon Town	13 December 1975
18	Leatherhead	0–0	Tooting & Mitcham United	13 December 1975
Replay	Tooting & Mitcham United	2–1	Leatherhead	22 December 1975
19	Coventry Sporting	0–4	Peterborough United	13 December 1975
20	Gateshead United	1–1	Rochdale	13 December 1975
Replay	Rochdale	3–1	Gateshead United	16 December 1975
