Date	Pos.	Player	From club	Transfer fee
2 July 2008	FW	Jô	CSKA Moscow	£18m
30 July 2008	DF	Tal Ben Haim	Chelsea	£5m
21 Aug. 2008	DF	Vincent Kompany	Hamburg	£6m
28 Aug. 2008	MF	Shaun Wright-Phillips	Chelsea	£8.5m
31 Aug. 2008	DF	Pablo Zabaleta	Espanyol	£6.45m
31 Aug. 2008	DF	Gláuber	Nuremberg	Undisc.
01 Sep. 2008	FW	Robinho	Real Madrid	£32.5m
03 Jan. 2009	DF	Wayne Bridge	Chelsea	£10m
19 Jan. 2009	FW	Craig Bellamy	West Ham	£14m
21 Jan. 2009	MF	Nigel de Jong	Hamburg	£16m
01 Feb. 2009	GK	Shay Given	Newcastle Utd.	£5.9m
