Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
6 August 1989	Sofia , Bulgaria	Clay	Laura Garrone	Silke Meier Elena Pampoulova	6–4, 7–5
13 May 1990	Rome , Italy	Clay	Laura Garrone	Helen Kelesi Monica Seles	3–6, 4–6
28 April 1991	Bol Island , Yugoslavia	Clay	Magdalena Maleeva	Sandra Cecchini Laura Garrone	6–3, 1–6, 6–4 W/O
5 May 1991	Taranto , Italy	Carpet	Ann Grossman	Alexia Dechaume Florencia Labat	2–6, 5–7
18 July 1993	Prague , Czech Republic	Hard	Caroline Vis	Inés Gorrochategui Patricia Tarabini	2–6, 1–6
24 October 1993	Brighton , England	Carpet (i)	Natalia Medvedeva	Anke Huber Larisa Savchenko	6–3, 1–6, 6–4
9 January 1994	Brisbane , Australia	Hard	Natalia Medvedeva	Jenny Byrne Rachel McQuillan	6–3, 6–1
15 May 1994	Prague , Czech Republic	Clay	Kristie Boogert	Amanda Coetzer Linda Wild	4–6, 6–3 2–6
24 September 1994	Moscow , Russia	Carpet	Caroline Vis	Elena Makarova Eugenia Maniokova	6–7, 4–6
5 February 1995	Auckland , New Zealand	Hard	Caroline Vis	Jill Hetherington Elna Reinach	6–7, 2–6
19 February 1995	Oklahoma City , Oklahoma, USA	Hard	Nicole Arendt	Katrina Adams Brenda Schultz	6–4, 6–3
5 Marich 1995	San Juan , Puerto Rico	Hard	Linda Wild	Karin Kschwendt Rene Collins	2–6, 6–0, 4–6
30 April 1995	Zagreb , Croatia	Clay	Irina Spîrlea	Mercedes Paz Rene Collins	5–7, 2–6
16 May 1999	Antwerp , Belgium	Clay	Katarina Srebotnik	Louise Pleming Meghann Shaughnessy	6–4, 6–2
