Discipline	Season	Performance	Place	Date
1500 m	2004	3:58:28	Moscow, Russia	May 30, 2004
1500 m	2003	4:07:25	Beograd, Serbia	May 25, 2003
1500 m	2002	4:11:00	İzmir, Turkey	May 11, 2002
1500 m	2001	4:11:31	Istanbul, Turkey	July 28, 2001
2000 m	2003	5:33:83	Istanbul, Turkey	June 7, 2003
3000 m	2004	8:35:83	Doha, Qatar	May 14, 2004
3000 m	2003	8:42:29	İzmir, Turkey	May 11, 2003
3000 m	2002	8:31:94	Brussels, Belgium	August 30, 2002
3000 m	2001	8:53:42	Grosseto, Italy	July 21, 2001
3000 m	2000	9:08:07	İzmir, Turkey	May 21, 2000
3000 m	1999	9:08:29	Bydgoszcz, Poland	July 17, 1999
5000 m	2004	14:24:68	Bergen, Norway	June 11, 2004
5000 m	2003	14:53:56	Paris, France	August 30, 2003
5000 m	2002	15:00:49	Hengelo, Netherlands	June 2, 2002
5000 m	2001	15:21:12	Grosseto, Italy	July 20, 2001
5000 m	2000	16:33:77	Santiago de Chile, Chile	October 17, 2000
5000 m	1999	16:06:20	Riga, Latvia	August 7, 1999
10000 m	2008	29:56.34	Beijing, China	August 15, 2008
10000 m	2006	30:21.67	Antalya, Turkey	April 15, 2006
10000m	2001	32:29:20	Tunis, Tunisia	September 12, 2001
