No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (million)
100-101	1-2	"The Blueprint"	Salim Akil	Mara Brock Akil	March26,2013	2.54
102	3	"We Gotta Stop Meeting Like This"	Salim Akil	Erica Montolfo-Bura	April2,2013	1.81
103	4	"Getting to Know All a Butt You"	Salim Akil	Marcos Luevanos	April9,2013	2.12
104	5	"Trashbox"	Salim Akil	Kenya Barris	April16,2013	1.88
105	6	"Guess Who's Bizzack"	Mary Lou Belli	Hale Rothstein	April23,2013	1.60
106	7	"Welcome to the Jungle"	Mary Lou Belli	Hale Rothstein	April30,2013	2.14
107	8	"How to Lose All Your Phat in One Day"	Mary Lou Belli	Jenifer Rice-Genzuk Henry	May7,2013	1.96
108	9	"Blue Canvases"	Bille Woodruff	Erica Montolfo-Bura	May14,2013	1.92
109	10	"The Pre-Season Game Episode"	Salim Akil	Kenny Smith	May21,2013	1.74
110	11	"The Busted Episode"	Bille Woodruff	Kenny Smith	July2,2013	3.58
111	12	"I'm Not Kelly Pitts"	Billie Woodruff	Marcos Luevanos	July9,2013	2.41
112	13	"I Love Luke...ahh!"	Mary Lou Belli	Jenifer Rice-Genzuk Henry	July16,2013	2.48
113	14	"Photo-Shoot Fresh"	Nzingha Stewart	Hale Rothstein	July23,2013	2.59
114	15	"Psh!! I'm Good"	Kenny Smith	Kenya Barris	July30,2013	2.66
115	16	"A Swan Song for Rick and Tasha"	Mary Lou Belli	Jenifer Rice-Genzuk Henry	August6,2013	2.50
117	18	"In Treatment"	Kenny Smith	Erica Montolfo-Bura	August20,2013	2.21
118	19	"Extra Butter...Extra Salt..."	Eric Laneuville	Kenya Barris	August27,2013	2.40
