Rnd	Circuit	LMP1 Winning Team	LMP2 Winning Team	LMPC Winning Team	GT Winning Team	GTC Winning Team	Results
1	Sebring	#10 Team Oreca Matmut	#055 Level 5 Motorsports	#036 Genoa Racing	#56 BMW Team RLL	#054 Black Swan Racing	Results
1	Sebring	Nicolas Lapierre Loïc Duval Olivier Panis	Scott Tucker Ryan Hunter-Reay Luis Díaz	Jens Petersen Dane Cameron Michael Guasch	Andy Priaulx Dirk Müller Joey Hand	Tim Pappas Sebastiaan Bleekemolen Damien Faulkner	Results
2	Long Beach	#6 Muscle Milk Aston Martin Racing	#33 Level 5 Motorsports	#06 Core Autosport	#56 BMW Team RLL	#54 Black Swan Racing	Results
2	Long Beach	Klaus Graf Lucas Luhr	Scott Tucker Christophe Bouchut	Gunnar Jeannette Ricardo González	Dirk Müller Joey Hand	Tim Pappas Jeroen Bleekemolen	Results
3	Lime Rock	#16 Dyson Racing Team	Did Not Participate	#63 Genoa Racing	#56 BMW Team RLL	#68 TRG	Results
3	Lime Rock	Chris Dyson Guy Smith	Did Not Participate	Eric Lux Elton Julian	Dirk Müller Joey Hand	Dion von Moltke Mike Piera	Results
4	Mosport	#6 Muscle Milk Aston Martin Racing	Did Not Participate	#06 Core Autosport	#4 Corvette Racing	#66 TRG	Results
4	Mosport	Klaus Graf Lucas Luhr	Did Not Participate	Gunnar Jeannette Ricardo González	Jan Magnussen Oliver Gavin	Duncan Ende Spencer Pumpelly	Results
5	Mid-Ohio	#6 Muscle Milk Aston Martin Racing	Did Not Participate	#89 Intersport Racing	#17 Team Falken Tire	#66 TRG	Results
5	Mid-Ohio	Klaus Graf Lucas Luhr	Did Not Participate	Kyle Marcelli Tomy Drissi	Wolf Henzler Bryan Sellers	Duncan Ende Spencer Pumpelly	Results
6	Road America	#6 Muscle Milk Aston Martin Racing	#055 Level 5 Motorsports	#52 PR1 Mathiasen Motorsports	#62 Risi Competizione	#54 Black Swan Motorsports	Results
6	Road America	Klaus Graf Lucas Luhr	Scott Tucker Christophe Bouchut Luis Díaz	Butch Leitzinger Rudy Junco, Jr.	Jaime Melo Toni Vilander	Tim Pappas Jeroen Bleekemolen	Results
7	Baltimore	#20 Oryx Dyson Racing	Did Not Participate	#37 Intersport Racing	#17 Team Falken Tire	#54 Black Swan Racing	Results
7	Baltimore	Humaid Al Masaood Steven Kane	Did Not Participate	Kyle Marcelli Tomy Drissi	Wolf Henzler Bryan Sellers	Tim Pappas Jeroen Bleekemolen	Results
8	Laguna Seca	#007 Aston Martin Racing	#055 Level 5 Motorsports	#63 Genoa Racing	#45 Flying Lizard Motorsports	#66 TRG	Results
8	Laguna Seca	Adrián Fernández Stefan Mücke Harold Primat	Scott Tucker Christophe Bouchut Luis Díaz	Eric Lux Elton Julian Michael Guasch	Jörg Bergmeister Patrick Long	Duncan Ende Peter Ludwig Spencer Pumpelly	Results
