Round	Pick #	Overall	Name	Position	College
1	11	11	Lenny Lyles	Defensive Back	Louisville
2	11	24	Bob Stransky	Halfback	Colorado
3	10	35	Joe Nicely	Guard	West Virginia
4	11	48	Les Walters	End	Penn State
5	1	50	Ray Brown	Defensive Back	Mississippi
6	8	69	Bob Taylor	End	Vanderbilt
7	6	79	Johnny Sample	Defensive Back	Maryland State
7	9	82	John Diehl	Tackle	Virginia
8	8	93	Floyd Peters	Defensive Tackle	San Francisco State
9	9	106	Harold Bullard	Fullback	Lenoir-Rhyne
10	8	117	Ray Schamber	Halfback	South Dakota
11	9	130	Bobby Jordan	Halfback	VMI
12	8	141	Tommy Addison	Linebacker	South Carolina
13	9	154	Jerry Richardson	Flanker	Wofford
14	8	165	Ken Hall	Halfback	Texas A&M
15	9	178	Lester Carney	Halfback	Ohio
16	8	189	Archie Matsos	Linebacker	Michigan State
17	9	202	James Reese	Quarterback	Minnesota
18	8	213	Dave Lloyd	Linebacker	Georgia
19	9	226	Tim Murnen	Guard	Bowling Green
20	8	237	Tom Forrestal	Quarterback	Navy
21	9	250	Jim Faulk	Halfback	TCU
22	8	261	Bob McKee	End	Monmouth
23	9	274	Phil Parslow	Halfback	UCLA
24	8	285	Bobby Sandlin	Halfback	Tennessee
25	9	298	Jim Roundtree	Halfback	Florida
26	8	309	Bob Grimes	Guard	Central Michigan
27	9	322	George Dintiman	Halfback	Lock Haven
28	8	333	Jim Murphy	Tackle	East Tennessee State
29	9	346	Doug Padgett	End	Duke
30	7	356	Gary Lund	Guard	Utah State
