Outcome	Year	Championship	Surface	Partner	Opponent	Score
Winner	1996	Wimbledon	Grass	Helena Suková	Meredith McGrath Larisa Savchenko Neiland	5–7, 7–5, 6–1
Winner	1997	Australian Open	Hard	Natasha Zvereva	Lindsay Davenport Lisa Raymond	6–2, 6–2
Winner	1998	Australian Open (2)	Hard	Mirjana Lučić	Lindsay Davenport Natasha Zvereva	6–4, 2–6, 6–3
Winner	1998	French Open	Clay	Jana Novotná	Lindsay Davenport Natasha Zvereva	6–1, 7–6 (7–4)
Winner	1998	Wimbledon (2)	Grass	Jana Novotná	Lindsay Davenport Natasha Zvereva	6–3, 3–6, 8–6
Winner	1998	US Open	Hard	Jana Novotná	Lindsay Davenport Natasha Zvereva	6–3, 6–3
Winner	1999	Australian Open (3)	Hard	Anna Kournikova	Lindsay Davenport Natasha Zvereva	7–5, 6–3
Runner-up	1999	French Open	Clay	Anna Kournikova	Serena Williams Venus Williams	6–3, 6–7 (2–7) , 8–6
Runner-up	2000	Australian Open	Hard	Mary Pierce	Lisa Raymond Rennae Stubbs	6–4, 5–7, 6–4
Winner	2000	French Open (2)	Clay	Mary Pierce	Virginia Ruano Pascual Paola Suárez	6–2, 6–4
