1953	party	Manhattan	The Bronx	Brooklyn	Queens	Richmond [Staten Is.]	Total
Robert F. Wagner, Jr.	Democratic	236,960	206,771	339,970	207,918	31,007	1,022,626
Robert F. Wagner, Jr.	Democratic	47.9%	46.2%	46.6%	40.6%	51.8%	1,022,626
Harold Riegelman	Republican	147,876	97,224	183,968	208,829	23,694	661,591
Harold Riegelman	Republican	29.9%	21.7%	25.2%	40.8%	39.6%	661,591
Rudolph Halley	Liberal	76,884	112,825	162,275	73,192	3,514	428,690
Rudolph Halley	Independent	7,648	9,853	13,264	7,356	295	38,416
Rudolph Halley	Total	84,532	122,678	175,539	80,548	3,809	467,106
Rudolph Halley	Total	17.1%	27.4%	24.1%	15.7%	6.4%	467,106
Clifford T. McAvoy	American Labor Party	14,904	13,290	17,337	7,182	332	53,045
David L. Weiss	Socialist Workers	10,683	7,760	13,062	7,254	1,019	2,054
Nathan Karp	Industrial Gov't [SLP ]	10,683	7,760	13,062	7,254	1,019	916
scattered	scattered	10,683	7,760	13,062	7,254	1,019	180
unrecorded (blank, spoiled, etc.)	unrecorded (blank, spoiled, etc.)	10,683	7,760	13,062	7,254	1,019	36,630
T O T A L	T O T A L	494,955	447,723	729,876	511,731	59,861	2,244,146
