Council	2003 result	Notional control (based on 2003 results)	2007 result	Details
Aberdeen City	No overall control (LD + Con)	NOC	No overall control (LD + SNP)	Details
Aberdeenshire	No overall control (LD + Ind)	NOC	No overall control (LD + Con)	Details
Angus	SNP	NOC	No overall control (Ind + Con + LD + Lab)	Details
Argyll and Bute	Independent	Independent	No overall control (Ind + SNP)	Details
Clackmannanshire	Labour	NOC	No overall control (Lab minority)	Details
Dumfries and Galloway	No overall control (Lab )	NOC	No overall control (Con + LD)	Details
Dundee City	No overall control (Lab + LD+ Con)	NOC	No overall control (Lab + LD+ Con)	Details
East Ayrshire	Labour	Labour	No overall control (SNP minority)	Details
East Dunbartonshire	No overall control (LD )	NOC	No overall control (Lab + Con)	Details
East Lothian	Labour	NOC	No overall control (SNP + LD)	Details
East Renfrewshire	No overall control (Lab + LD)	NOC	No overall control (Lab + LD + Ind + Con)	Details
City of Edinburgh	Labour (NOC: Lab )	NOC	No overall control (LD + SNP)	Details
Falkirk	No overall control (SNP + Ind + Con)	NOC	No overall control (Lab + Ind + Con)	Details
Fife	No overall control (Lab )	NOC	No overall control (LD + SNP)	Details
Glasgow City	Labour	Labour	Labour	Details
Highland	Independent	Independent	No overall control (Ind + SNP)	Details
Inverclyde	Liberal Democrats	NOC	No overall control (Lab minority)	Details
Midlothian	Labour	NOC	No overall control (Lab minority)	Details
Moray	Independent	Independent	No overall control (Ind + Con)	Details
Na h-Eileanan Siar	Independent	Independent	Independent	Details
North Ayrshire	Labour	Labour	No overall control (Lab minority)	Details
North Lanarkshire	Labour	Labour	Labour	Details
Orkney	Independent	Independent	Independent	Details
Perth and Kinross	No overall control (SNP + LD + Ind)	NOC	No overall control (SNP + LD)	Details
Renfrewshire	Labour	NOC	No overall control (SNP + LD)	Details
Scottish Borders	No overall control (Ind + Con)	NOC	No overall control (Ind + Con + LD)	Details
Shetland	Independent	Independent	Independent	Details
South Ayrshire	No overall control (Con )	NOC	No overall control (Con minority)	Details
South Lanarkshire	Labour	Labour	No overall control (Lab minority)	Details
Stirling	Labour (NOC: Lab )	NOC	No overall control (Lab minority)	Details
West Dunbartonshire	Labour	Labour	No overall control (SNP + Ind)	Details
West Lothian	Labour	NOC	No overall control (SNP + Ind)	Details
