Saddle cloth	Horse	Trainer	Jockey	Weight (kg)	Barrier [b ]	Placing
1	Septimus	Aidan O'Brien	J P Murtagh	58.5	10	18
2	Master O'Reilly	Danny O'Brien	V Duric	55	6	4
3	Honolulu	Aidan O'Brien	Colm O’Donoghue	54.5	24	21
4	C’est La Guerre	John Sadler	B Prebble	54	5	3
5	Nom Du Jeu	Murray Baker	J Lloyd	54	1	8
6	Yellowstone	Jane Chapple-Hyam	J F Egan	54	scr	scr [1 ]
7	Zipping	John Sadler	D Nikolic	54	16	9
8	Mad Rush	Luca Cumani	Damien Oliver	53.5	4	7
9	Ice Chariot	Ron Maund	M Rodd	53	22	11
10	Viewed	Bart Cummings	B Shinn	53	9	1
11	Littorio	Nigel Blackiston	S R King	52.5	17	13
12	Bauer	Luca Cumani	C W Brown	52	13	2 [4 ]
13	Boundless	Stephen Mckee	G J Childs	52	20	15
14	Gallopin	Danny O'Brien	J Winks	52	21	DNF [2 ]
15	Guyno	Lou Luciani	C Newitt	52	8	12
16	Zarita	Pat Hyland	D Dunn	52	scr	scr [3 ]
17	Newport	Paul Perry	Chris Symons	51.5	15	10
18	Profound Beauty	Dermot K Weld	Glen Boss	51.5	2	5
19	Red Lord	Anthony Cummings	Nicholas Hall [a ]	51.5	14	16
20	Varevees	Richard Gibson	Craig Williams	51.5	23	14
21	Prize Lady	Graeme Sanders	M C Sweeney	51	18	17
22	Alessandro Volta	Aidan O'Brien	W M Lordan	50.5	11	20
23	Barbaricus	Danny O'Brien	S Baster	50.5	3	19
24	Moatize	Bart Cummings	Ms C Lindop	50	19	6
