Year	Player	Nationality	Position	Club
1984	Wally Lewis	Australia	Five-Eighth	Wynnum Manly Seagulls
1985	Brett Kenny	Australia	Five-Eighth	Parramatta Eels
1986	Garry Jack	Australia	Fullback	Balmain Tigers
1987 1	Hugh McGahan Peter Sterling	New Zealand Australia	Second Row Halfback	Eastern Suburbs Parramatta Eels
1988	Ellery Hanley	England	Five-Eighth	Wigan
1989	Mal Meninga	Australia	Centre	Canberra Raiders
1990 2	Garry Schofield	England	Five-Eighth	Leeds
1991-1998	No award given	No award given	No award given	No award given
1999	Andrew Johns	Australia	Halfback	Newcastle Knights
2000	Brad Fittler	Australia	Five-Eighth	Sydney Roosters
2001	Andrew Johns	Australia	Halfback	Newcastle Knights
2002	Stacey Jones	New Zealand	Halfback	New Zealand Warriors
2003	Darren Lockyer	Australia	Fullback	Brisbane Broncos
2004	Andrew Farrell	England	Lock	Wigan Warriors
2005	Anthony Minichiello	Australia	Fullback	Sydney Roosters
2006	Darren Lockyer	Australia	Five-Eighth	Brisbane Broncos
2007	Cameron Smith	Australia	Hooker	Melbourne Storm
2008	Billy Slater	Australia	Fullback	Melbourne Storm
2009	Greg Inglis	Australia	Centre	Melbourne Storm
2010	Benji Marshall	New Zealand	Five-Eighth	Wests Tigers
2011	Johnathan Thurston	Australia	Halfback	North Queensland Cowboys
2012	Kevin Sinfield	England	Lock	Leeds
