Tournament	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	Career W-L
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	A	3R	A	3R	3R	1R	A	A	1R	7–6
French Open	A	A	A	A	A	1R	1R	A	A	A	A	A	1–3
Wimbledon	A	A	1R	2R	3R	1R	3R	4R	A	A	A	1R	9–8
US Open	2R	1R	1R	2R	1R	4R	2R	3R	A	A	A	3R	11–10
Win-Loss	1–1	0–1	0–2	2–2	4–3	3–3	5–4	7–3	0–1	0–0	0–0	2–3	28–27
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells	A	A	1R	2R	1R	A	4R	4R	A	A	A	2R	7–7
Miami	A	A	A	2R	A	2R	2R	QF	A	A	A	4R	10–6
Monte Carlo	A	A	A	A	A	1R	2R	A	A	A	A	A	1–2
Rome	A	A	A	A	A	A	A	A	A	A	A	A	0–0
Madrid	A	A	A	A	A	A	QF	1R	A	A	A	A	3–2
Hamburg	A	A	A	A	A	A	A	A	A	A	A	NMS	0–0
Toronto / Montreal	A	A	A	A	3R	A	A	2R	A	A	A	A	3–2
Cincinnati	A	A	2R	1R	3R	A	1R	1R	A	A	A	A	4–6
Shanghai	NMS	NMS	NMS	NMS	YEC	NMS	NMS	YEC	YEC	YEC	YEC	A	0–0
Paris	A	A	A	A	A	A	1R	2R	A	A	A	A	1–2
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Year	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	Total
ATP Finals Reached	0	0	0	0	1	3	1	2	0	0	0	0	7
Titles	0	0	0	0	1	3	0	0	0	0	0	0	4
Runner-ups	0	0	0	0	0	0	1	2	0	0	0	0	3
Year End Ranking	410	227	181	124	57	33	32	29	574	N/A	865	76	N/A
