Outcome	Date	Tournament	Surface	Opponent	Score
Winner	January 14, 2007	El Salvador F1, Santa Tecla	Clay	Jan Stancik	5–7, 6–1, 6–2
Winner	January 21, 2007	Guatemala F1, Guatemala City	Hard	John Paul Fruttero	7–6 (7–5) , 6–3
Winner	February 4, 2007	Costa Rica F1, San José	Hard	Lester Cook	2–6, 7–5, 6–3
Winner	March 11, 2007	USA F6, McAllen	Hard	Wesley Whitehouse	6–3, 6–2
Winner	January 20, 2008	Guatemala F1, Guatemala City	Hard	Marcel Felder	7–6 (7–5) , 6–3
Winner	September 25, 2011	Canada F7, Markham	Hard (i)	Jesse Levine	6–4, 3–6, 7–5
Winner	October 9, 2011	Venezuela F8, Caracas	Hard	Eduardo Struvay	6–1, 6–3
Winner	October 16, 2011	USA F26, Austin	Hard	John-Patrick Smith	4–6, 7–6 (7–5) , 6–4
Winner	February 26, 2012	USA F5, Brownsville	Hard	Daniel Cox	6–1, 6–3
Runner–up	March 4, 2012	USA F6, Harlingen	Hard	Thomas Fabbiano	1–6, 6–4, 3–6
Runner–up	March 18, 2012	Canada F2, Sherbrooke	Carpet (i)	Stefan Seifert	3–6, 6–7 (4–7)
Runner–up	July 8, 2012	Panama City , Panama	Clay	Rogério Dutra da Silva	3–6, 0–6
Runner–up	August 19, 2012	Canada F5, Mississauga	Hard	Danai Udomchoke	5–7, 6–7 (5–7)
Winner	September 8, 2012	Canada F7, Toronto	Clay	Chase Buchanan	6–4, 6–4
Runner–up	September 23, 2012	Canada F9, Markham	Hard (i)	Tennys Sandgren	4–6, 3–6
Winner	September 7, 2013	Canada F7, Toronto	Clay	Jason Jung	6–1, 6–1
Winner	September 14, 2013	Canada F8, Toronto	Hard	Sanam Singh	6–2, 6–2
Winner	October 13, 2013	Tiburon , United States	Hard	Matthew Ebden	7–5, 6–3
Runner–up	November 3, 2013	Charlottesville , United States	Hard (i)	Michael Russell	5–7, 6–2, 6–7 (5–7)
