Date	Result	Score	Brazil scorers	Competition
May 17, 1979	W	6-0	Éder , Zico (3), Nílton Batata (2)	International Friendly
May 31, 1979	W	5-1	Edinho , Sócrates (2), Nílton Batata , Éder	International Friendly
June 21, 1979	W	5-0	Sócrates (2), Toninho , Zico (2)	International Friendly (unofficial match)
July 5, 1979	D	1-1	Juary	International Friendly (unofficial match)
July 26, 1979	L	1-2	Roberto Dinamite	Copa América
August 2, 1979	W	2-1	Tita , Zico	Copa América
August 16, 1979	W	2-0	Tita , Zico	Copa América
August 23, 1979	D	2-2	Sócrates (2)	Copa América
October 24, 1979	L	1-2	Palhinha	Copa América
October 31, 1979	D	2-2	Falcão , Sócrates	Copa América
