Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	Golden State	L 96–109 (OT)	Chris Wilcox Earl Watson (16)	Chris Wilcox (11)	Earl Watson (5)	KeyArena 11,461	3–15
19	December 5	L. A. Clippers	W 95–88 (OT)	Nick Collison (18)	Nick Collison (17)	Earl Watson (6)	KeyArena 10,961	4–15
20	December 7	Milwaukee	W 104–98 (OT)	Kevin Durant (35)	Chris Wilcox (13)	Earl Watson (9)	KeyArena 13,142	5–15
21	December 9	@ New Orleans	L 88–91 (OT)	Kevin Durant (23)	Nick Collison Chris Wilcox (12)	Earl Watson (8)	New Orleans Arena 10,773	5–16
22	December 11	@ Chicago	L 96–123 (OT)	Kevin Durant (16)	Jeff Green (6)	Earl Watson (6)	United Center 21,772	5–17
23	December 12	@ New York	W 117–110 (OT)	Kevin Durant (30)	Kurt Thomas (8)	Kevin Durant Earl Watson (4)	Madison Square Garden 17,637	6–17
24	December 14	@ Minnesota	W 99–88 (OT)	Chris Wilcox (19)	Chris Wilcox (11)	Earl Watson (8)	Target Center 16,523	7–17
25	December 15	@ Utah	L 75–96 (OT)	Wally Szczerbiak (24)	Nick Collison (9)	Earl Watson (5)	EnergySolutions Arena 19,911	7–18
26	December 19	New Orleans	L 93–107 (OT)	Kevin Durant (18)	Nick Collison (9)	Kevin Durant Jeff Green (5)	KeyArena 11,968	7–19
27	December 21	Toronto	W 123–115 (OT)	Kevin Durant (27)	Nick Collison (10)	Earl Watson (7)	KeyArena 13,661	8–19
28	December 25	@ Portland	L 79–89 (OT)	Kevin Durant (23)	Nick Collison (14)	Earl Watson (11)	Rose Garden 20,527	8–20
29	December 27	Boston	L 96–104 (OT)	Kevin Durant (25)	Kurt Thomas (14)	Delonte West (8)	KeyArena 17,072	8–21
30	December 29	Minnesota	W 109–90 (OT)	Jeff Green Wally Szczerbiak (18)	Kurt Thomas (15)	Delonte West (7)	KeyArena 14,038	9–21
