Location	Founded	Type	Enrollment	Nickname	Joined	Left	Current Conference
Mount Berry, Georgia	1902	Private	1,937	Vikings	1996	2004	SAA (NCAA Division III)
Birmingham, Alabama	1856	Private	1,400	Panthers	1996	2001	SAA (NCAA Division III)
Nashville, Tennessee	1891	Private	4,278	Bisons	1996	2001	Atlantic Sun (A-Sun) (NCAA Division I)
Cleveland, Tennessee	1918	Private	4,954	Flames	1996	2004	SSAC , Gulf South in 2013.
Nashville, Tennessee	1901	Private	2,345	Trojans	1996	2012	G-MAC (NCAA Division II)
Jackson, Tennessee	1823	Private	4,259	Union	1996	2012	Gulf South (GSC) (NCAA Division II)
Walnut Ridge, Arkansas	1941	Private	700	Eagles	1996	2001	American Midwest
Batesville, Arkansas	1872	Private	600	Scots	1997	2012	American Midwest
Memphis, Tennessee	1941	Private	1,970	Eagles	2005	2009	USCAA / NCCAA Independent
Jackson, Tennessee	1843	Private	800	Eagles	2006	2009	closed in 2011
Lebanon, Tennessee	1842	Private	1,500	Bulldogs	2002	2012	Mid-South
