Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	13–5	Tim Boetsch	Decision (split)	UFC 166	3	5:00	Houston, Texas , United States
Win	13–4	Daniel Sarafian	Decision (split)	UFC on FX: Belfort vs. Bisping	3	5:00	São Paulo , Brazil
Win	12–4	Jason Miller	Decision (unanimous)	UFC 146	3	5:00	Las Vegas, Nevada , United States
Loss	11–4	Jared Hamman	TKO (punches)	UFC Live: Hardy vs. Lytle	2	3:38	Milwaukee, Wisconsin , United States
Loss	11–3	Mark Muñoz	KO (punches)	UFC Live: Sanchez vs. Kampmann	1	0:54	Louisville, Kentucky , United States
Win	11–2	Joe Doerksen	Submission (Peruvian Necktie)	UFC 119	1	2:13	Indianapolis, Indiana , United States
Win	10–2	Goran Reljić	Decision (unanimous)	UFC 110	3	5:00	Sydney , Australia
Win	9–2	Jay Silva	Decision (unanimous)	UFC Fight Night: Diaz vs. Guillard	3	5:00	Oklahoma City, Oklahoma , United States
Loss	8–2	Tom Lawlor	Technical Submission (guillotine choke)	UFC 100	1	0:55	Las Vegas, Nevada , United States
Win	8–1	Mike Massenzio	TKO (punches)	UFC 92	1	3:01	Las Vegas, Nevada , United States
Win	7–1	Jesse Taylor	Submission (Peruvian necktie)	UFC Fight Night: Silva vs. Irvin	1	3:58	Las Vegas, Nevada , United States
Loss	6–1	Amir Sadollah	Submission (armbar)	The Ultimate Fighter 7 Finale	1	3:02	Las Vegas, Nevada , United States
Win	6–0	Bill Smallwood	Submission (rear-naked choke)	SE: Vale Tudo	1	N/A	Mexico
Win	5–0	Hans Marrero	TKO (knee and punches)	HDNet Fights 1	1	1:07	Dallas, Texas , United States
Win	4–0	Joe Bunch	TKO (punches)	IFO: Wiuff vs. Salmon	2	4:31	Las Vegas, Nevada , United States
Win	3–0	George Hartman	Decision (unanimous)	Rage in the Cage 94	3	3:00	Phoenix, Arizona , United States
Win	2–0	Levi LaLonde	TKO (punches)	WFC: Desert Storm	1	2:40	Camp Verde, Arizona , United States
Win	1–0	Chuck Pablo	TKO (slam)	Cage Fighting Federation	N/A	N/A	Albuquerque, New Mexico , United States
